,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
03/2020,0.005039994702401462,-0.0007643060153069703,-0.014115592642731295,-0.003839245833694674,-0.004016051078305015,-0.006035698011119556,-0.0055376823521336715,-0.002303315603198519,0.028592745562024513,0.007217743011592254,-0.004476151781393822
04/2020,0.010042074947926222,-0.0009596253757928608,-0.0068965782225109875,0.001204714506155169,0.0029271843078473234,-0.0018875720417149688,-0.0044955317668716605,-0.0004634183056170249,0.036899893827746943,0.00028274750141027427,-0.0021771058853098657
05/2020,0.012346378777499042,0.021098430046838368,-0.001536862920322856,0.017931701284312478,0.005767993906632407,0.005331455572643404,-0.0012270002103729402,0.0013781436203418318,0.053223309720202505,0.0006807156693405952,0.008987923629350969
06/2020,0.0009045500764979647,0.014456137697715782,0.0028869808552017297,0.019444652055478386,0.00718225730550278,0.016685441862975214,0.002518058735031227,0.0028585077303175943,-0.03772105529454295,-0.002405425217374746,0.005938661164626852
07/2020,0.005951081568334654,0.02077398169912112,0.0032384520638611865,0.015157299843237743,0.007209521035029698,0.015812433956284955,0.006549160054856819,0.006708744060464622,0.0075398399816469786,-0.0022780767484727876,0.020124857198514173
08/2020,0.0044991909177882344,0.020720848088076227,0.00024346956600105295,0.01918230596948855,0.006368982081623849,0.008833979813560058,0.011457849491732584,0.007566505460466555,0.021780296451372916,-0.0012172915325450034,0.038764029385243814
09/2020,-0.019603522708045655,0.014894857450064275,-0.0028779750116722826,-0.015250212133065922,-0.00803092617771984,0.006787281012056626,0.015340292861285756,0.0078238655981403,-0.012886304335973486,-0.0033761794267145734,0.04679228527028667
10/2020,-0.02425537660549877,0.006278289786894431,-0.005785853038212719,-0.019377605466049087,-0.0015821420584835877,0.03066437386760147,0.017444820593643967,0.004129136619680063,-0.013133599514685346,0.00039194988836355193,-0.0033560701541282267
11/2020,-0.009319392351088807,0.010256848735869128,-0.003993358388653058,-0.01671854978775388,-0.0065787424979669926,0.0045530958388722564,0.005000861190285422,-0.0032020909977880097,0.020298586614601932,-0.0018516510820226692,0.0038138145545318636
01/2021,-0.00043061709446356317,-0.02000986281229558,-0.0005524304459484982,-0.012598466495673737,-0.007209135246500568,-0.013380421537011106,-0.01363728598622909,-0.0005416454100845014,-0.038490872459720715,-0.001951524436644439,-0.0029249322767815056
02/2021,0.00472146969028716,-0.0106566273963664,-0.0008674355515849736,-0.009162635723407263,-0.006575165312041727,-0.010924360192151747,-0.013297698267401525,0.0006957447404014605,-0.025675631529225307,0.0069878435726181964,-0.0443511299221703
03/2021,0.011057516521241269,-0.015056968985385388,-0.0030754452455709572,-0.0032077683651525572,-0.0002585367114862902,-0.004515667403926754,-0.010432594941287673,-0.003743950646225458,-0.0033635679335763946,0.0054256530021950106,-0.03345188171641404
04/2021,0.025566585081889227,-0.011092018696190406,0.026092874801824942,0.010070950137359317,-0.0012971056827189714,-0.006944329309686595,-0.0073404944392768574,-0.006105042104809111,0.017311964117415313,0.006427037295218374,-0.023671564998455262
05/2021,0.009287374726378625,-0.007192200709429511,-0.003945265834569499,0.005755109487838587,-0.0057437182264951335,-0.0037008882061926596,-0.004607941202822114,-0.0037082463977328173,0.02021283964243875,0.0007551453538618136,-0.01369781183316452
06/2021,0.010498344227483983,-0.00500646669655698,-0.0037391816190250303,0.002812785404981241,-0.003103553325110517,-0.002302694685589031,-0.0021486161677751366,-0.0040898437262447684,0.025719463103045848,0.0011803798575016275,-0.00425565922527936
07/2021,-0.013423198635070948,-0.0028453617222770206,-0.005174568384994164,-4.974591629448161e-06,-0.0026078324262972727,0.008022395146598076,-0.000989782922144796,0.0006190036810649335,0.043448967760917945,0.000668143255854764,0.0034109410874322912
08/2021,-0.010647650410751927,-0.0027749188300441735,-0.0067367462413938095,-0.0013715175144293264,0.00420221405419615,-0.002641381423787989,0.0034738105656594333,0.001090287010353852,0.034640935361898606,-0.002211044240578018,0.0047481154517302615
09/2021,-0.010273764960859959,-0.004406522178025216,-0.005016914319514069,-0.002947945255148722,0.0007921686474687203,-0.007352757122766548,-0.0005727759406678207,0.0028098269558626265,-0.06353971245389592,-0.009757969309042804,-0.00800100083625211
10/2021,-0.014489707600783597,-0.01124179659259876,-0.00562260488459519,-0.0035642809802808473,0.0011373441899126258,-0.006375342381195838,-0.0030132872129614036,0.008985807600512263,-0.04797176414068355,-0.01601946217446948,-0.012872995950284787
11/2021,-0.019324258205595333,-0.015129044327804472,-0.010757256147984532,-0.006840395303078213,0.0026008160852186296,-0.014675894631637244,-0.006731421092367415,0.01001749083265524,-0.03793399874066808,-0.022600517349490208,-0.01791048150391831
12/2021,-0.02053886209224151,-0.02096337661983322,-0.004590708943412208,-0.009372097327377562,0.0003570578101017366,-0.016902000545538254,-0.011294188047554011,0.009802290685187565,-0.04173749910217295,-0.02346427218770012,-0.020776459756299506
01/2022,-0.025470708571894058,-0.023881389389314764,-0.010413213435252974,-0.013917993313564433,0.012007411346843341,-0.023321408738358723,-0.01664105715817461,0.00859492754836344,-0.03379425227884153,-0.019285261576413457,-0.02756908303094647
02/2022,-0.016632309404124662,-0.032730317449144716,-0.017030706363725046,-0.02205656869117154,-0.0005904733038456789,-0.02997890560964328,-0.024323087623304866,0.010519503726014179,-0.041761657661295526,-0.027123038677123845,-0.03905083099904565
05/2022,-0.003602382195191066,0.004652855804390954,-0.0050921904021943645,-0.02879758466650685,-0.0014682109810648797,-0.028147156085653685,-0.025964243960283018,-0.01780668608003322,-0.03471315752257534,0.015162068879371049,-0.0016858025451341602
06/2022,0.001047938450830982,0.021189857703016762,0.013829689107851616,-0.0073277541170928065,-0.004138200667880301,0.014290598446098923,-0.0033352433659844805,-0.01546494310986024,0.0020729115064217485,0.017710662227867713,-0.002210998493678326
