,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
05/2023,8234576.192310002,723569.2256800001,1269746.88203,345044.94191000005,1127404.4756500004,889081.0583200003,372642.78170000017,1956526.3454400003,633359.9568600007,1264418.46612,1079316.26774
06/2023,7054636.258150004,765429.3759699999,1290725.8501899997,346069.0914899998,5385550.201719999,861694.4007900003,388286.85396,1841809.0987899995,497899.5870999992,1326599.0716000004,1394235.0117099993
07/2023,7399266.031489991,818822.7813200001,1383270.9151999997,397149.34251000034,2881853.9567300007,927283.4831499988,431827.4334399998,1858159.2710999995,3724190.101570001,1341239.1617199993,1376528.4674700005
08/2023,7790245.9260000065,831754.0304300003,1396221.1176399998,378781.1066899998,2791814.3641600013,857492.0185300009,435594.81297999993,2009828.852330001,772641.4872299992,1428402.3181600012,1468390.55401
09/2023,6196921.16289001,761135.8902499992,1421288.6333300006,375339.9130199999,5623177.73043,678113.98752,430883.2844800004,1899183.7528300008,788892.2990799993,1194627.7226899993,437521.7595899999
10/2023,7562428.568349987,807026.8293200005,1624445.9960200004,393193.46276,1777364.844829999,1019013.6951200004,576738.18395,1896990.6623899972,981832.7049600016,1231276.3270999994,1565565.84423
11/2023,11098716.2781,795287.1892199991,1451638.1404099986,398277.3300999999,-462192.4654100016,822184.1737099998,396045.82715000026,1992762.2044900025,910081.60128,1288077.8324800003,1593162.9450500011
12/2023,12984170.807270003,784956.3734600013,1510895.4336600006,408436.59493000014,-1810201.78929,901036.93458,531365.4941799995,1746788.147239998,981943.7604899984,1344437.8191299995,1466641.0898399986
01/2024,10151843.24227,861170.04475,1551005.3077699998,408588.96491,2339752.23698,873473.0954,480958.21043,1956399.50476,927369.80884,1269971.98642,1785326.1510299998
02/2024,6154369.666199999,813448.7916799999,1551332.7369600004,378398.44948000007,2241356.4929700005,798306.5671699999,404636.49298,1720968.6455200005,830989.5118000001,1199205.19574,1423552.6800200003
