,b industrialbank,mtb bank,pivdennyi bank,poltava-bank,fuib,bank grant,mega bank,sky bank,bta bank,asvio bank,ukrsibbank,idea bank,cominvestbank,ukrainian bank for reconstruction and development,pravex bank,credit agricole bank,arkada bank,ukreximbank,metabank,city bank,unex bank,kib,ibox bank,universal bank,kb land capital,piraeus bank icb,bank credit dnipro,ukrgasbank,radabank,clearing house,bank alliance,first investment bank,ing bank ukraine,otp bank,citibank,procredit bank,sberbank,bank for investments and savings,bank vostok,bank trust-capital,ukrainian bank for reconstruction and development,kb financial initiative,bank for investments and savings,bank forward,cb accordbank,credit europe bank,creditwest bank,raiffeisen bank,ukrainian bank for reconstruction and development,motor-bank,cb globus,ap bank,mib,cb accordbank,bank 3/4,eib,vernum bank,deutsche bank dbu,altbank,seb corporate bank,cb privatbank,sich bank,policombank,alpari bank,bank avangard,oschadbank,tascombank,bank portal,crystalbank,bank familny,rws bank,kredobank,lviv bank,okci bank,a-bank,sense bank
2020/12/01,2183486.38539,3123143.1485,19621170.86373,1050428.51546,26588464.91966,1127701.12966,6468712.28547,245515.6419,,362730.62415,16805174.08647,19802.07566,588950.88499,403009.94654,2525574.80664,23826241.1539,,95771322.52773,553747.34554,314595.49536,99249.45609,1147084.87379,336262.79542,2649452.41029,733665.16158,1840219.19881,5286765.8706,42445383.30543,1171567.41782,1752273.56218,3290309.45078,618892.48037,7123172.53624,21772455.11304,3150711.28952,20074444.9952,44621001.83785,25022894.8021,7461459.96686,73164.62962,,,1830275.11981,177788.03439,834121.50832,407361.80285,1275422.24291,42091433.81051,621237.3973600001,531609.2286800001,1320121.76672,623199.52275,2067998.83188,1339077.93682,76109.44339,483910.65005,,486101.59829,336921.00497,304936.84226,187651024.87317,787220.06237,398714.61148,28214.70626,58415.13174,79597524.60369,13192696.48967,218879.7687,601514.88835,2803.28452,256238.18412,7628415.14311,2709758.95222,164557.12861,975731.83172,28852511.89015
2021/02/01,1998525.51819,3322382.15906,18113470.38515,960897.4823,26733089.08967,1231499.57497,6511923.122339999,193259.1226,,371082.27245,17018607.96948,22149.70369,595611.93676,366306.61085,1662104.73111,22581998.51417,,92957465.97156,590700.24024,,94443.06526,1133203.59811,280276.09748,2878051.36931,507948.43309,2026715.7757,5127870.94396,45039093.70407,1360959.59725,1487652.8898,3664154.25723,576912.53009,7354028.61969,21551471.8183,1226867.33173,19787322.16775,41969755.94162,25036531.50166,7484863.13597,112392.95053,,,1603568.2264,172355.70261,780164.62327,377236.92617,1291449.85367,39970098.04236,624125.23867,546124.76289,1407054.67931,808834.61019,2087196.45078,1785629.5435,82161.02065,485936.53937,,421099.39998,359002.945,292360.10383000004,181710870.95094,870179.11494,360877.94048,29900.754190000003,42397.58504,77370385.01411,11022517.94934,188341.66987,604008.56919,8849.11321,317015.59558,7634786.1121,2872898.41457,166134.99509,1105175.80854,33181272.29385
2021/03/01,2122707.70713,3516227.06202,18536542.87584,1039980.1138,27167193.04323,1264488.38935,6486683.72822,198195.24425,,393778.74238,16884118.413990002,25951.89003,596270.50343,375691.45999,2120579.1479,22811080.62691,,93104158.99251,592751.5184599999,,88765.12303999999,1280086.39331,285348.17964,2984112.79493,519382.63061000005,2089970.57293,5112656.32968,44488237.8975,1361062.39833,1671755.309,3706614.1354,676118.41109,7537421.51382,22268645.58301,1292923.37717,19731463.05166,41587413.51515,24926874.12271,7724031.14075,109078.26139,,,1543001.19476,167448.3825,788346.41261,364746.44187,1235945.98572,40294371.01563,693053.03221,570541.57835,1668921.40701,898439.14662,2017215.16748,1878686.75966,82205.98837,486933.12168,,840694.4541399999,341805.86129000003,682706.12343,181785152.67527,881692.90772,396094.20047,32365.39586,42977.3389,76957019.53528,10579506.08985,189275.05631,579138.69901,8080.89697,337015.84416,7571263.19251,2979370.77191,162694.94267,1082726.74085,29262097.77049
2021/04/01,2089454.23176,3601340.5635200003,17574519.9958,1111213.62194,27426800.96823,1211219.11328,6576841.09899,193397.49764,,362839.51096,17501948.08913,31225.25555,615241.4200200001,434588.59186,1770687.2535,21004639.75119,,93721703.64841,614918.74107,,88904.33438,1518533.63851,275020.54581,2573418.93999,507778.13678,2062401.80342,5226445.54515,44105213.7025,1379673.1898,1544699.63459,3703669.23574,569969.82047,6360656.4909500005,22253574.72366,511803.95842,19934836.90184,41197395.74164,24965573.75721,7972884.6516,104875.63842,,,1724088.9965100002,160965.3619,736042.46172,344002.37138,1121894.72852,42594154.57981,678652.5295000001,550111.49504,2029790.32601,1031295.72809,2031317.46649,1816061.8917,112236.25639,479478.94196,,430153.79722,349897.89725,299850.1659,180950719.98331,977016.33903,442102.82031,32864.49518,43432.03682,74781179.28308,11232915.65706,182973.43104,571182.59563,2283.98246,374181.08624,8214545.44139,3168034.31583,160805.32679,1049176.60024,29395586.19799
2021/05/01,2096414.66646,3668106.31747,18350031.91422,1086067.22463,28139466.71239,1235966.13922,6506245.73379,192585.90191,,403692.08901,18603696.48803,36226.67728,617751.71136,471934.21636,1556052.88754,22321839.2985,,95174869.33162,564342.38572,,81241.50825999999,1588345.88356,285249.1921,2620883.1040600003,510842.78598,2239568.03764,5559203.63812,44820372.13879,1398536.18789,1781893.91184,3936045.58517,590877.0033,6620965.61945,23442477.69689,1066663.14259,20807247.88711,41020060.118,25006031.26562,8454530.708730001,100242.62887,,,1749236.01523,122601.34717,727592.3297100001,391722.49761,1135567.97286,45790508.45938,675217.80987,616870.88627,1912392.00907,1152781.30232,2065956.62401,1527232.26687,110340.96493,481748.09064,,526018.07033,341047.29813,383750.53605,182097676.61116,1035688.09247,418366.21418,37742.81648,42014.63193,73411187.52988,11641863.95101,178805.87633,607331.11162,12328.22153,380128.32829,8478896.77253,3335939.3300900003,171050.38073,1033917.64605,31616294.39073
2021/06/01,1918928.17417,3875894.04092,19629771.48033,1073434.35834,29131313.79544,1179293.6939,6468824.70395,189009.97036,,412394.79174,18409141.72287,38261.00235,602969.57874,430982.57136,2101157.16151,21987975.38639,,83994122.4532,574693.53546,,80286.64616,1635951.53813,267809.94302,3050021.95853,517578.7244,2430451.12734,5828486.88891,45652442.66042,1422552.69857,1760438.52468,4506865.53439,591890.12344,6320893.00061,24256737.32252,1227176.44632,21089407.67463,38885689.0355,24915522.76481,8369551.56916,96082.12694,,,1610796.00155,116458.32705,737556.19005,412601.94166,1189668.2857,47504272.36603,704459.59502,627860.83607,1946851.02552,1174327.01202,2097928.11498,1612034.0868000002,95707.33234,490479.78088,,372216.76634,344055.37179,538038.16687,182153737.41459,906555.2914,439612.8761,33984.20156,41459.32069,74853386.91991,11503484.99731,176485.98603,581828.4105,3103.32808,373958.29072,8824154.00317,3404150.86268,155577.27963,1081173.89674,32472074.39356
2021/07/01,1944909.60298,3833346.23446,19787285.3461,1148247.12192,30608000.82666,1057128.61617,6562129.625820001,186835.12835,,405633.54615,16108426.4361,39510.94222,599656.7880299999,490465.35278,1937673.07678,22438101.39811,,83782217.2729,534062.32702,,74489.65677,1736814.47879,306194.6854,2759948.97726,524136.46506,2726141.35885,5969198.02102,44906988.504,1584930.4654700002,1764832.14874,5158741.71414,488083.21651,5230529.311410001,25804884.69954,3714808.95902,21888124.22861,37706907.0595,24681117.73442,8748840.84297,110989.85121,,,1667949.80716,113433.6427,708323.8766300001,355488.34978,1225203.44046,49581702.32157,762219.9983199999,648630.51306,2008913.67031,1226697.65022,2161245.47455,1610593.4831,105427.76732,472144.166,,395397.02452,460383.40299,175048.1801,182561445.87516,920203.74208,391659.25146,33220.10632,40988.84909,73860760.78694999,11256970.89472,173848.0828,572125.78946,1976.98865,388059.02393,9408794.4248,3561960.79226,141333.25516,1260032.86441,31841251.96549
2021/08/01,2046737.60927,3992171.34575,19342627.56197,1196828.17886,31482978.21463,1078235.33692,6567494.48804,190938.95402,,406705.8573,16843712.18728,43046.0102,605557.93492,554872.42024,1934369.20055,25119189.61533,,82138822.42307,526630.49345,,79240.27797,1748669.2004,334272.64045,2650677.09715,528221.0825199999,2589660.02119,6084627.58564,43393646.61988,1535109.94184,1702757.71989,5418784.18304,603775.35228,5766288.213339999,26317695.29174,4048831.64564,21724586.25927,32023134.0232,24572683.95473,8716774.626729999,99698.52368,,,1628887.19632,110540.37649,724621.43972,466684.70023,1220828.19518,50479433.11661,719689.8022,622214.37936,1989096.57468,1282824.83183,2175567.52928,1504590.48272,98716.22121,466332.41055,,382274.30464,395139.00618,157547.71534,182072637.32169,965139.76663,415472.02058,38048.14536,41098.45701,73098525.15073,11987629.59183,186718.25616,564705.8245,10356.87264,345736.62437,9644562.80223,3678436.61112,138883.7764,1325473.75476,32009297.17075
2021/09/01,1997500.4512,4029777.01077,20050494.82998,1259239.39674,32211992.74947,1159360.7475,6582242.40797,235220.83605,,491122.44172,17800880.77983,48134.54244,548639.71476,523786.1639,2249021.0248,27456204.31309,,88692621.06496,493488.00956,,79412.44864,1662966.18312,327426.50191,2144566.62413,535708.41595,2661353.19137,6513693.57065,44934362.92838,1599596.8068,1778850.85086,5623127.37196,596450.29558,6881878.96659,28215915.27338,4149964.71315,21824537.09908,32012636.02511,24621325.67095,9159437.70902,95292.99829,,,1789985.0650399998,110452.35879,733283.5111,467232.44215,1207018.87696,51986042.55207,748114.41984,567490.8140499999,1981470.45634,1257594.54951,2195174.14814,1473626.57661,89819.84008,467470.2559,,348988.8959,378739.87291,378383.64149,182616940.44171,993642.21539,484651.95267,41432.11106,40010.73366,71943770.41062,12099012.74671,190228.88338,539602.27814,2459.14211,351363.37043,9811511.01538,3746617.93224,133393.18912,1490251.0745,34479652.76201
2021/10/01,1747885.29772,3968544.00327,20326103.07344,1276576.15293,33761578.33082,1219689.058,6854664.195850001,254618.78594,,512114.21451,20059532.31381,45818.56869,545149.41714,556898.49724,2389568.09142,30920460.68457,,88568283.45356,486557.98859,,84050.86347999999,1799480.32212,318768.54474,2206042.71977,,2712742.39532,6886142.877,46222259.90967,1568057.74084,1841610.11402,6260531.84664,419480.38954,5696433.97602,29094558.24742,5645967.584679999,22280155.16469,28409921.58053,24415420.17961,8961919.789210001,87979.93227,,,1734780.39792,109375.64319,716222.25511,464353.36596,1181100.64399,54168593.77332,747050.5319000001,569566.71017,1889039.45081,1240729.85972,2253233.99736,1656956.64616,88184.69244,434672.42773,,402021.45411,416866.71183,391813.54032,181918875.57991,918559.43011,498016.31458,6298.57356,39581.58082,61741198.48554,11762350.71473,196288.42152,536975.81953,3120.32021,336098.3851,10031833.25302,3873822.37234,128928.63984,1543361.54831,34736137.04991
2021/11/01,1968609.46364,4117805.59331,21327290.52604,1235495.61637,34924988.97331,1195640.76185,6761038.10503,246169.95346,,550754.86808,20206684.45082,49632.02465,564627.44216,547646.78943,2620393.54066,30483583.26656,,87778304.65246,558825.43603,,86033.8283,1901211.41646,335978.60324,2179908.20945,,2739483.46997,6822188.67078,48745736.98761,1619463.42125,1895703.6127,6489751.12467,358930.44958,5412626.25101,30373623.33461,4741751.38883,22487674.00157,29569133.88912,24318354.93557,9102379.96644,82094.80491,,,1549207.05404,106609.62567,727481.46219,456403.41195,1256273.56649,57756273.66382,770180.96417,678124.63554,1792476.85698,1220096.71868,2155699.4005,1648817.5623,53990.598150000005,411537.67687,,513687.74334,413377.02034,652031.0607899999,181357934.58679,1114471.82733,534049.95046,8324.851330000001,39715.95921,61339801.01484,12402076.13277,208963.99431,582374.83939,8538.93324,312484.28209,9976503.25965,3904490.6564,128050.14998,1608894.98594,36104712.90311
2021/12/01,2101681.39334,4250610.93846,22686542.01903,1265190.55085,35689795.50368,1246406.76496,7125941.23884,268303.55263,,553830.07974,22226631.37796,53700.48487,551874.6961,540086.75083,2746603.80659,32707756.0856,,77204342.3746,534446.7564,,40172.61264,2086649.03085,327766.60573,2239880.04615,,2922240.07548,6563345.4532,48287404.24977,1711548.13566,1904882.86678,6706721.427759999,357089.99579,6978633.62924,31609392.57988,6705603.25312,22969295.59576,29870796.07154,22815684.61314,8968514.76732,76586.22569,,,1391853.16241,107133.59281,735329.5650800001,450506.20656,1344695.66679,61181584.30086,744845.65189,685235.60755,1889327.60465,1212983.37645,2230395.69624,1540985.75206,87847.49239,411536.2723,,398942.2870200001,327023.73617000005,352954.32366999995,182576164.55809,1042698.61429,515440.91771,7313.40789,61186.98338,61353452.54319,12302238.11565,213602.25138,523930.86495,2516.89523,343162.67018,9995118.83174,4076814.07491,127733.0531,1591046.81718,38467641.95784
2022/01/01,1919804.56007,4223483.26122,21089468.96253,1141010.11376,36148712.40901,1216027.78871,7417443.78374,292363.19723,,582889.1771,22233049.20176,55104.39298,528514.7832000001,547796.53783,3184834.00298,29545120.59015,,77918418.68767999,486261.11377,,106658.49114,2000160.17367,306277.25508,2401264.2675,,2642129.87136,7087301.35044,48778128.86406,1927968.54052,1746408.4879,4281988.18192,257138.66982,6822272.58606,32850431.92698,7722336.67784,22990191.62376,28454143.20967,22996384.71807,9270904.41583,70003.67995,1512.39608,,1200079.96225,102015.44605,744512.14913,341612.51802,1352260.7445,62428135.193160005,760520.15059,686635.33095,1214999.39499,1197465.69987,2116477.22696,1524144.50348,86973.65509,401173.1891,,301396.16723,294278.23893,357773.5566,182733184.03065,1017831.33935,445983.19749,15862.54231,61354.01096,59601217.46124,12075015.75167,206019.75534,494897.48239,10807.68738,310973.37712,9111803.03528,4244655.51841,128439.44159,1759926.8263,37168629.72779
2022/02/01,1857873.88382,4322162.23136,21790868.79915,1240369.75387,35903565.72842,1297378.55707,7989273.92551,306187.34208,,577293.96654,22119096.51365,57059.38641,544613.5961000001,542328.8975300001,2924522.88604,33117452.03492,,80109987.51698999,485822.90345,,107743.9886,2007080.97451,319013.50619,2505470.34392,,2667176.56312,6943573.31635,50097423.28467,1914076.20294,1821068.28798,5431837.35035,267623.85581,5997620.34658,35157083.45131,7397442.48612,23282343.4968,29945526.92912,24133579.36335,9121494.45786,65676.67008,1516.56164,,1372849.70385,105430.26255,737640.70983,344530.03499,1369751.35418,62752777.60195,764034.44794,615300.36461,1673401.1481,1179759.95573,2093735.2149,1665891.60493,97194.83656,413987.55759,,677815.18618,322041.77574,385757.07924,184622740.88469,1113810.15626,496338.47645,17773.08711,54338.18261,59735807.91272999,12443290.96401,193631.98872,531950.98746,3735.52413,339575.69028,9232615.34413,4264511.32367,143535.31821,1817175.91291,39243732.10889
2022/03/01,2013226.91911,4752623.1491,23397087.12538,1327366.83855,38688224.50835,1329595.21123,7922694.64397,267258.71307,,,23182684.13893,62197.66365,531459.27293,509154.2549,2930994.73306,35456918.25487,,82297753.56292,538667.21436,,125878.28023,2220279.3135800003,339532.38648,2621181.0964,,2741290.54876,7501628.70643,51728784.48163,1894147.40626,2016297.22495,5856936.86689,346895.00612000003,7357419.23671,37585823.29027,8379460.49114,23806097.8198,,,9787988.35585,58480.18281,1514.9589,,1281282.71636,105809.92108,761373.35714,349040.27851,1425555.96134,65453761.39384,811190.35449,694235.29367,1777774.45386,1110282.8903,2167282.71929,1679663.46008,120203.37709,421884.35084,,1243931.09949,362958.54261,471482.58049,185379358.41017,1289003.48452,,67284.00156,53323.2258,62853350.71958,12858334.14262,185861.57136,526528.70241,5531.63667,368498.58819,9444479.07188,4301884.86961,148506.13164,1742191.92909,41197033.16472
2022/06/01,2025964.95346,4574271.81251,21786655.32954,1384067.09218,38907242.54935,1314584.44068,7910614.83357,267506.41493,,603985.6719,21834838.16814,62147.59574,497711.79956,444805.68201,2867295.39262,32033389.5391,,94067862.75646,498292.01701,,135137.56487,2077586.4046,430726.45228,2734008.0144100003,,2526948.38411,6512672.27737,59432284.46938,1827374.3966,1817979.06583,5744701.86219,349510.05606000003,7027575.92056,34115859.01398,8478936.49699,24903508.61702,,,9309384.52862,57577.42463,1564.10958,,1284499.64026,104770.62331,737002.07033,319892.02568,1318878.97083,65227006.05148,841911.95572,690018.28261,1292240.84468,1154529.68232,2259230.01568,1426195.51688,103782.75029,451470.30068,,1394342.39666,311394.93137,792267.13191,193282381.62405,1137538.88353,583919.08357,17354.462140000003,51901.22594999999,67524560.8677,12087348.08093,187226.89412,526438.83411,2685.47165,315438.76779,9274711.2668,4239670.34375,143581.33811,1878588.27597,36624469.1051
