,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2021/03/01,7572837.53701,36776.95938,344972.91185999993,869896.98108,346577.31194999994,766574.95419,1934393.53647,3160723.039090001,152594.28592,3432205.8227,52091.79018,3238397.50542,7870.81184,1601280.86914,1254198.9691,152099.0588,103464.37384,347467.0655,7563958.1585,4247.41076,1989654.75341,2774713.87712,57933942.8536,1326153.9213800002,1463937.98482,544882.68902,26185516.144920003,314605.71696,1222439.7370000002,652994.4684,840464.61461,360290.62154,617947.89872,38840867.75002,202788.40409000003,3882428.38127,1063324.55687,6890091.137940001,13228694.63637,588770.62832,568838.7134899999,3687457.03545,292454.38619,69024200.67437,28165607.92967,2053429.16322,17414401.18544,349742.20407999994,1039318.8703,2967914.91864,19165309.55191,1165226.00509,45305128.35428,386839.55259,681135.89923,45618358.32903,177258.01447999998,11906046.37904,0.0,662850.89957,47932931.49351,45906668.67352,21364915.94035,147937.65547,18593327.95963
2021/04/01,7673432.80617,36175.2423,352597.69795,1001112.77923,351013.08671,714496.8536900001,1896136.19127,3355978.86968,179334.31307,3493594.1752500003,52370.60491,3307664.98156,2593.00093,1537926.15501,1202375.8367400002,148778.56665,99914.26753,402542.81436,7814170.19057,3853.04135,1923567.59192,3176175.9735700004,60301029.22196,544795.93383,1331861.27935,564271.55969,24509236.2563,295670.64173,1108288.43955,655046.46977,429982.25357,353353.29102,516502.07964,39629221.49084,191958.2289,4015061.39605,1069359.853,5712354.72897,14070285.03138,606614.83767,549380.64597,3770641.0157,287922.57654000004,67736391.62024,28292494.85915,2020629.51847,16373623.8617,394969.23374000005,1116881.76197,2655943.32449,19391818.502940003,1177330.15539,47669130.94988,422304.90279,299160.51069,45927737.81561,170840.10267,12647369.233879998,0.0,651144.62636,50145965.33064,45509050.19931,22047130.19118,147860.43471000003,19464634.37064
2021/05/01,7704836.4277,40478.12154,344014.23128,1121064.4836199998,387452.4727,709164.87959,1916445.6643,3537743.91568,177167.02568,3662363.97537,50671.83259,3603054.38009,11816.48703,1555466.41234,1226623.73673,145327.38246,95543.71674,438103.10718,8275161.809069999,2477.58794,1641817.91107,3119538.125440001,61153459.61946,1097169.6470400002,1568540.29378,563196.4431599999,25918224.74206,342350.19421000005,1121856.0502,697548.87366,525828.44826,354605.41718,535435.1378,40456408.51236,195323.01078,4159561.19471,1101618.97505,5972509.6601100005,14610443.04114,553197.7389700001,616178.11568,3843072.72006,291287.70723,66342930.50559001,29707465.76584,2196147.419,17029592.86203,369807.12516,1091385.59802,2518463.9863,20280265.14174,1220931.09395,50957477.6075,427458.62786,382867.90983,47881439.49418,169969.09511,13180502.88864,0.0,650206.46264,51025586.678040005,46340819.54433001,23185032.53781,137855.61285,20190575.05408
2021/06/01,7952129.13277,36069.75617000001,346092.93144,1142022.0505,400636.48475,704882.51249,1744971.69222,3617466.81382,162175.90963,4224710.17499,50127.40833,4043384.26178,3353.89853,1409181.85483,1170524.75622,143927.28761,91559.93913,418954.79392,8214284.59212,2435.42579,1698834.48795,3180527.7688200003,62899267.28824,1257531.64732,1555448.2319200002,544147.2863500001,25720546.65403,363663.23264,1176177.61464,666859.8556100001,372090.76989,363576.94363,527699.42486,41908231.2221,169486.90984,4238085.33254,1126645.54198,6295110.77953,15181724.846419998,565888.7475,627431.76484,4038660.25594,269817.48154,68743149.83160001,30647291.18544,2383439.3933,18334070.81136,390422.88404,1079841.66104,3119633.09349,20586642.35088,1235767.27035,52861920.60884,418459.53693,536800.67909,49010864.67421,163327.56714,13105139.93863,0.0,677503.5244100001,50934145.53428,46932729.0493,23120723.3636,138748.5054,21978418.67543
2021/07/01,8327916.758719999,34458.813149999994,462296.60948,1193111.2795699998,392413.7676800001,680440.95017,1784386.78002,3789343.4943,167508.26700000002,4851318.75695,49658.16171,3973158.19455,2323.02464,1472787.45027,1042519.5266,141824.86363,106132.98205,477010.76432,8580224.55789,2387.7915500000004,1678893.66077,3272818.26903,64328135.79798,3743175.84667,1530548.41656,547665.05786,26294145.581570003,306444.49399,1208303.66358,656570.75275,395260.30386,346323.84777,431643.00097,44346658.42381,206932.42924,4332235.76531,1174137.51225,5225043.29583,16036214.09474,529154.55075,648288.3868499999,4003013.56524,255164.89131,69462152.38013001,32258080.19431,2678906.1955500003,18479091.08072,356335.46937,1153901.16844,3023236.9407300004,21407023.73241,1394247.67339,55205501.83673,431512.55871,174646.01501,48929708.38593,174837.01381,12989406.15827,0.0,733586.1137,53019404.005200006,46685477.42856,20937067.76477,139289.45483,22193111.14906
2021/08/01,8599884.57065,38441.43060000001,396647.32737,1248950.44005,392616.11124,685833.85729,1884956.14068,3913328.90446,155394.89431,5160669.07368,49772.08267,4137435.13353,9963.45645,1452410.47912,1064124.0861000002,153336.83309,95357.0574,542837.99759,8540234.567019999,2344.43966,1617471.2199799998,3286994.89928,64706988.93313,4075640.16864,1474973.21472,554602.74728,29037661.23845,414224.97255,1199415.08226,646303.0286000001,382138.16833,342620.27774,540930.44059,46002635.4353,235920.10448,4443657.07187,1177495.06419,5761036.01803,16584715.78178,521599.84229,621779.55473,4150132.62147,249883.04325,68917025.71572,32865087.41546,2541769.02527,18388739.78112,381284.97471,1202727.35968,3095752.70705,21271747.98969,1338334.81829,56241825.63644,379566.30346,157185.83872,49735145.020430006,182344.78934,13883073.47155,0.0,690066.13556,53441183.39652,45464099.67767,21776214.38848,142439.796,22779438.13544
2021/09/01,9011211.66826,41926.64485,380371.70588,1222282.71963,480287.6111,689278.95552,1842927.19705,4000679.29415,140890.25232,5361407.563639999,48729.06702,4540802.11999,2747.07009,1615445.75646,1143535.86907,161005.49321,90765.11959,520060.99901,8994306.3503,2319.96058,1570394.4531,3315153.61255,66729118.64992999,4178117.63025,1560952.37353,498039.10812,31456383.11463,415149.33484,1185483.76029,624743.1500499999,348860.72005,348457.6684,531932.60104,47586517.41378,225129.53128,4565878.154920001,1203005.2964,6877485.0883,17094735.84527,488342.5555,566703.9790700001,4167336.44942,240175.95147,70658798.49152,34963059.57106,2611488.74004,19063633.67722,449349.66954,1266237.36751,3478770.0396,21408993.09014,1403288.08028,57968345.79158,375955.1927,377513.35968,53268173.600760005,226295.51623,14209195.47177,0.0,711394.9766799998,64455983.189150006,47191376.22329,23000872.67604,141892.87976,22912259.76808
2021/10/01,9104560.42598,7216.624849999999,418477.01964,1205721.77584,501524.1697100001,678679.24742,1662207.7286600005,4150692.4824200007,139835.97579000003,5947612.18238,51330.20374,5114271.88237,3351.98027,1551071.331,1205188.3722100002,166602.58263999998,83858.20495,549683.61712,8801204.31653,2297.47885,1692991.47212,3238656.03333,67415100.26399,5675073.197450001,1628963.00807,494041.39004,34979551.20657,411554.87768,1159713.63734,641510.5744899999,401796.3289,316303.39813,370163.98666000005,49304184.901240006,216728.67998,4664570.08606,1285247.96535,5692025.04985,17606163.67801,481356.00378,570715.41191,4109832.241570001,219786.01077,73309859.60774,35993389.033760004,2662637.25541,19356993.5315,463673.37769,1314276.02727,3704296.49417,21909582.277050003,1393450.87153,60297614.40092,356049.9294,390912.36916,54793623.18986,253392.86966,14560212.717819998,0.0,708594.6295899999,64521672.04507,49824392.07691,25432014.56184,149637.85429000002,23528929.55033
2021/11/01,9226833.217,9447.43721,414579.98271,1189636.39016,529845.8431,685037.79455,1886057.97857,4194807.72069,93079.36628,6130035.540630001,51445.8543,5301032.566120001,8269.33066,1367590.75596,1184816.73004,174122.61940999998,77501.51379,539612.1457300001,8947149.524209999,2256.5956100000003,1646387.69459,3148717.2634900003,67333209.83184,4770936.38483,1701704.8916899995,519464.81366,34606604.59884,404149.072,1233764.00086,688930.40316,513400.88212,297424.88695,345200.90717,50751128.97705,233662.94593,4711376.02773,1181532.48139,5408298.00769,17664670.62372,553459.16472,679282.02064,4248060.58228,179675.59840000002,74596753.64494999,37371840.38012,2690018.01741,20322618.59521,515399.63848,1274613.15909,4014077.51846,22108272.56449,1457389.44477,63948933.47232,326612.75571,650531.38934,57109425.66229,257780.86845,15486835.24583,0.0,731840.60298,64166244.801690005,53453471.76111001,25591908.27275,157889.75026000003,24237231.53409
2021/12/01,9191966.64524,9293.75634,328733.31452,1183714.7175800002,543904.06571,703006.04774,1987146.69408,4381110.230390001,127384.27888,6400814.73062,70370.82048000001,5248516.64397,2795.16297,1366163.26341,1234430.20846,177427.17331,74326.51904,531628.9034500001,8808804.278020002,2298.36113,1507916.49067,3279929.64782,69626090.34344,6733743.697489999,1734862.6761599998,502700.32512,36829670.32828,396776.57492,1324125.14401,627142.04108,398809.97468,295723.314,346449.26824,51998843.655360006,225289.4348,4746802.58994,1183663.04767,6973989.75281,17712749.241919998,531283.41794,686319.90817,4390865.49007,164292.07905,74921651.00549999,38982603.63218,2871469.7724900004,21611237.656650003,503180.50844,1301154.74303,4239412.66736,22648921.16921,1585944.16093,67589927.70186,350487.82835,352143.1971,60551456.233880006,282925.42686,15635472.20131,0.0,712072.5384,67981894.36419,54647041.87295,27979360.12316,118839.53528,25489723.33499
2022/01/01,9501506.91216,17903.581,295919.49620000005,1174375.79175,558364.78957,738173.4150800001,1807712.93134,4580241.49,121308.48498,3906927.6469199993,70298.22873,5714268.39221,10232.83851,1219285.6788700002,1201987.15697,162759.49651000003,69224.77884999999,556318.26129,9140169.66527,2299.98077,1494856.68677,2685490.9108,70193030.37557,7748226.31159,1590620.64428,486041.39752,33802579.533099994,288711.79504,1332586.75236,594767.73688,301302.52621,289956.5037,248825.76411,53086793.35171,228439.20864,4804461.90389,1192349.85488,6818414.05147,16803942.27572,482595.09771,687940.11356,4362869.63114,164646.93198999998,74754085.60115999,40460457.67423,2594968.72292,19969068.8323,438137.29519,1178459.78304,4768271.881879999,22705397.18257,1843612.56005,68803612.16961999,306915.73444,356957.833,60334147.7916,313040.9674600001,16207594.8092,1506.14627,714357.23465,69330615.89208001,55889683.12094,28459814.6799,197964.75793,26064067.62789
2022/02/01,9760934.09358,19496.97014,323926.72342000005,1156817.69288,550474.9638300001,746897.2378,1743520.57265,4616179.24867,125193.33674,5013282.02632,64340.59801,5472567.62714,3921.82998,1379208.96653,1279531.56524,150933.24851,65511.70825999999,548987.64567,8979830.457390001,2362.78041,1600627.73762,3146301.32577,73810126.36033,7423246.0661,1668400.92865,499746.9414,37238943.18576,288374.00304,1352431.46863,622497.5790799999,677564.8412499999,300912.86220000003,258586.71674,53165751.8657,232823.32984,4837747.065180001,1109796.02333,5993355.102159999,16955836.571820002,481928.86591,616223.5384399999,4449441.77931,173326.22111999997,74998101.43558,42798393.01033,2616411.46351,20673015.57153,485925.06365,1275202.50028,4536609.983929999,22984819.32076,1825498.30827,69215236.9314,335196.03644,384877.55327,62705087.08397,326133.91181,16681895.042799998,1508.17846,712679.0177699999,71322039.3946,57055496.92372,28690580.60555,214519.24999,27846835.65645
2022/03/01,9993076.313329998,66390.4894,364469.78907,1090155.1325100001,559597.19148,782845.06755,1856153.9778299998,4675235.07711,140922.72155000002,5434512.09122,63288.40386,5998459.7493900005,5515.04004,1293252.23896,1316364.44591,144005.48378,57768.380280000005,514551.49106,9635695.597399998,2413.24805,1609970.61905,3246672.9204,77228180.58961,8404791.72154,1869942.79695,485143.39145,39435996.85553,280482.44641,1408185.23872,612546.5973600001,1243475.1667799999,307027.16688,334133.0627,56455041.37423,252801.02527,4849069.135550001,1163790.9774,7352117.3123699995,17150573.06749,534665.72569,694938.0311799999,4852799.620449999,172517.61055,77441815.90332998,45117583.88675,2687152.36952,22249455.33152,…,1359752.65024,4587145.19758,23378116.210610002,1799848.8413,71694914.24821,364799.62917000003,470408.43101,64594396.92266,295739.73523,17212090.82606,1506.5962299999999,757069.88743,73276149.04376,58393164.9541,29692531.08303,257006.5404,28624944.58619
2022/04/01,9621463.57573,66906.75953,357340.63564999995,1109573.45575,578604.8085699999,763273.1454800001,1825926.97815,4642711.46537,141353.00253,5211516.517,61323.32966,5518447.23694,4056.54718,1305344.6069500002,1316622.51177,145223.21058,56797.875360000005,490333.86589,9234005.3182,2378.4565300000004,1400462.29724,3081551.72923,76344228.70848,7105426.71229,1700075.63172,476061.70599,37545549.59118,180839.00702,1378479.9009600002,610431.58881,1345996.05211,303858.08432,336283.34622,54351068.383650005,256201.33057,4775311.58275,1185317.45375,6921634.538210001,16742085.1605,538834.25804,695757.44845,4691441.96259,172727.5242,75362971.04020001,42177565.64839,2546436.52954,21490858.76657,519361.11139,1339315.14083,4535833.47914,22616159.8999,1692684.70364,71699552.15825,347668.9871,401095.4638,62418523.05234,295639.90178,16950521.070309997,1522.94589,755938.91341,77815794.13604,60854155.49409,29088336.73615,261744.20005,24731429.13337
2022/05/01,9273066.89804,66393.3041,348497.0778,1114556.97932,592420.3814099999,676428.03912,1728398.02325,4602986.776469999,136100.85418,5124025.89994,51394.85618,5281778.72183,2887.38871,1278759.29777,1320940.5223200002,143598.01629,56236.80722,479993.39854,9120792.98724,2332.5543700000003,1272419.23842,2842721.72912,78488682.09510002,7566573.760670001,1520047.30708,469175.07769,35764082.162530005,179982.84166,1321572.2242500002,612096.37821,1332142.49647,311588.61301000003,338501.79509,53204430.52217,256486.592,4661799.52993,1182542.18733,6691914.288740001,16446355.95969,498059.6846700001,689945.3128300001,4638143.308180001,168974.46556,77889440.15438,39016340.81907,2482704.8402400003,20569675.88336,530383.31496,1322901.9518,4419697.62102,22858655.66722,1626289.13903,70356985.18379001,340134.32752,648263.31551,59761322.2884,285899.89573000005,16527519.14625,1538.76814,769235.5758999999,80213005.13448,57688637.81006,27439318.61185,260002.61689,23150652.22007
2022/06/01,8847496.331389999,19460.97196,310436.85079,1117149.8212700002,586546.5196799999,680576.6502599999,1714953.58704,4591756.677420001,125291.45908000002,5246904.15408,38633.02208,4937616.77687,1287.9144,1263950.20165,1276249.87832,140285.61048,55548.49761,450777.00203,9002550.32879,2302.51884,1174583.85,2619165.68128,81853548.5726,8057816.66219,1655230.08936,452267.26739000005,34757299.14453,159964.73033000002,1290054.72753,602403.85787,1394040.33128,336807.0147,324218.63287,52970299.86755,343975.08314000006,4520359.7249300005,1219609.4552,6869320.40863,16093559.29279,486159.6205,687176.0706999999,4547453.59814,165329.85214,77096135.72691,38364426.0345,2455882.52691,20280559.30266,572077.5108299999,1409911.1287999998,4462433.6587,23425715.77654,1653703.25283,69641271.42448,309402.28121999995,790460.76692,56684217.94527,286471.553,15876989.02881,1555.11779,783666.74974,82410728.67499001,63325407.40934999,26542743.30614,272915.73687,22311447.87093
2022/07/01,8181329.41294,14970.06099,320824.99576,1116442.03552,567468.8889199999,739746.59529,1689718.71031,4485073.161909999,120769.66386000002,5187360.11986,38673.80473,4611057.26443,4256.376389999999,1234074.78462,1244533.21989,141394.23095,54939.95859,446770.36005,8518734.78651,2279.29778,1134475.45403,2473813.4079600004,78018318.09068,7551157.44893,1685983.6895400002,456172.20588,32352940.742550004,153983.78546999997,1270887.34234,592033.78886,1421568.67179,320582.88174,316505.4932,51242315.01336,336994.20971,4401758.36347,1127740.26532,6601143.28658,15586098.46268,479664.53723,705306.69409,4754800.40026,154819.15341,77624757.35666001,36193621.36477,2353025.0445000003,19212689.08086,542264.4717100001,1418249.03928,4377439.77896,22863263.57133,1555923.0126,68267804.37985,315907.48686,707489.5774300001,52738470.3528,273610.5354,15553065.17023,1570.94004,752373.46767,78791263.25007999,66225029.31263999,24122551.51843,282417.64878,21597946.54381
2022/08/01,7920577.473209999,14962.05949,396432.73581,1141641.3457,577136.26805,874542.0590799999,1869990.14288,4569841.584869999,130495.48592,5136911.82953,41010.93717,4576514.9551,3778.3032,1196020.57692,1238011.62489,143645.6125,47568.52517,379495.2251700001,9142395.24533,2750.10842,1279293.1346099998,2396442.49343,76314768.67415999,8516808.00498,1777259.29489,491312.14267,33936481.019090004,144423.31459999998,1371002.16908,605997.57316,1371089.44076,327651.12192,247697.37664,52036912.9698,424860.46545,4339357.156180001,1176295.04845,7139387.62242,15516070.33812,490311.30351,720929.15555,4796268.85689,148378.81539,82799378.49514,37321817.76287,2334364.09278,20384534.802460004,560139.6071200001,1460454.66044,4538550.900230001,23484534.4965,1513816.70479,72230958.52966,342890.22031,795475.2812199999,54938658.79886,270924.59522,15607129.10387,1571.46744,732702.26377,89433897.80410999,73091652.00207001,22296423.47072,295617.66513000004,21404545.87594
2022/09/01,7479277.927320001,14953.73225,341461.39329,1122064.7039599998,622702.07955,840163.77723,1857075.748,4519104.09171,110694.48445,5027685.16432,40859.13016,4403148.84284,2458.5185100000003,1205644.14611,1254833.26567,143563.74237,42216.43135,398244.12339,9150422.40238,2724.9841000000006,1197710.58439,2243639.8779800003,74880302.21432,8694079.880420001,1636661.3605,473545.04751,32441447.62899,133052.52234,1321711.66134,585538.88726,1147296.03458,330349.7748,212312.65106,50875975.28214,416264.36604000005,4113373.60281,1120514.4073599998,7458150.52417,14925844.166569998,470293.55761,718249.5785899999,4668532.27117,145571.52993,82619139.19073,35215101.29978,2322848.98742,20305217.13927,567302.6681,1421233.31707,4359607.62178,22557955.8442,1442165.65853,71514083.74567999,336160.09285,774745.65834,51924555.81457,271908.30798000004,15559215.6643,1571.46744,716721.06888,88455055.10291,71620216.59527001,21888396.94206,280854.38316,20874798.94201
