,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2019/11/01,1481459.55052,40749.41453,66062.43310000001,107464.20475,111577.38846,238829.53343,417968.45521,168115.47978999998,285361.34025,329207.03275,98007.44442,947334.28468,35079.17808,467568.48997,151556.60103,45515.61655,26181.89839,103917.98942,882696.29854,88991.75296999999,325104.90322,376335.88021,39180126.95154,2456826.93643,157961.21073,107029.25815,3125362.83913,87840.56652,117372.65107,208186.40197,141159.37461,115992.51565,137534.37531,6261687.67509,246612.13143,1513592.66761,310505.80792,1011126.19483,1681262.29642,113887.97833,103164.52429,496724.40099,37406.08744,8685690.24187,4560527.28808,301003.98946,1826758.61772,59822.81165,243859.97649,479772.99599,1288366.74496,194410.84979,9205569.3583,304147.17689,136470.19460000002,7545366.83216,77136.44877,1598021.94954,19896.30349,166342.15351,5300559.36534,4388533.243199999,5803088.927879999,127712.61922,2200915.71973
2019/12/01,1677532.79623,43512.14301,74624.7252,116920.98248,123059.39515,275275.81163,449698.93555,188120.57562,304747.44366,360655.68463,104004.89492,918989.52532,37043.18731,516465.29401,165700.35822,49514.85881,27876.75842,109517.78059,970744.9124,98249.70643,359460.39498,416653.08055,44306959.8178,2711151.28187,172617.10904,114874.87502,3426399.2498500003,96396.40727,128800.79323999998,225459.76014,152633.89771000002,125385.14452,150117.95736,6946802.554570001,263978.61638,1671376.21164,314287.45689,1109466.11147,1855179.54855,123872.04388,113078.70973,539587.18617,39698.24444,8856614.42464,5027832.58778,327540.63665,1985240.39268,66002.78126,272129.90148,523040.65736,1421379.5478500002,212344.88857,10156490.588140002,313519.24725,148006.78981,8229661.822419999,77954.92444,1752518.83572,21569.42208,183102.31993,6387866.2657,4877297.04564,6325044.55606,138756.12092,2517351.45277
2020/01/01,1855644.84883,46422.31683,85577.85775000001,127848.29148,131028.08204,316536.43785000005,492380.12056,219923.05436,326477.44116,402704.97851,111228.65249,1368174.22935,39495.1205,571738.30857,187565.54337,54668.53281,33870.59437,133545.89175,1094098.42509,106105.17245,403121.25005,456689.50638,47635315.12725,2954314.81381,193714.93636,124950.61171,3734869.64694,105651.42007,142088.49486,244370.83803,164352.16014,136749.05380999998,164520.98265999998,7591894.94616,293571.04174,1859834.06082,346441.90998,1206526.92846,2054461.52733,135636.55325,123759.52319,602146.8972400001,42914.36524,10074638.16991,5548758.34594,367325.62859,2190638.40029,72744.32416,301536.53413,565551.86793,1555996.2406,233597.2532,11125218.63138,241859.2062,159665.52616,9258536.67666,104900.82317,1930743.88356,23266.53229,203114.78416,6747556.32641,4865352.777989999,7009798.40164,152046.70967,2899753.7967100004
2020/02/01,196588.96612,3311.0744900000004,8311.367069999998,11248.12793,11306.65258,38849.44333,46057.83812,20984.16584,20756.54109,41491.53364,5753.5467,61300.08127,7285.10575,52110.59272,16402.25447,4835.03412,2923.56824,6947.98019,107914.15055,9053.55912,38532.87357,38940.50671,4847661.191219999,277796.69097,15391.87913,10882.49073,308449.7164,8559.47588,12003.70949,17198.102939999997,13091.71295,12290.75078,14475.69258,804478.72322,30364.82783,165828.98807999998,53137.588520000005,78463.47286,191405.37525,10791.25792,10667.46913,64276.28955,2461.81677,1772921.54454,435411.16685,26601.22946,154466.88567000002,6126.31614,22019.84416,42681.57166,129244.12095,21657.97629,947827.43144,14300.41907,14282.0688,911317.1484,3361.93804,148212.1866,1880.25831,18079.27486,150707.07553,453705.9832,551035.09562,16926.9993,329981.48788
2020/03/01,406857.37702,5546.17029,13807.8688,19919.71467,20933.97893,85458.24204,77524.69434,39984.411960000005,35036.01628,76111.05245,10214.858,115482.2569,11144.96148,98716.86813,32545.7682,8415.29499,5279.86261,12732.43701,203741.20578,15214.26808,77012.9779,61847.27795,12362390.94131,470614.41673,31600.23305,20134.26728,592949.58045,18414.29086,24203.75987,35601.31739,23443.4342,18657.364520000003,27220.82112,1548769.8151,60761.62569,312213.48259,60363.7793,139146.39494,365727.52173,20059.97921,19486.90082,114485.79164,6791.899,2785075.4966200003,878187.49757,50575.7841,334344.64375,11796.58136,44388.20785,77547.84870999999,262944.99391,41813.05956,1841203.61148,39280.65946,25099.34453,1810988.00948,14615.47457,309212.17655,3576.3471400000003,34545.4461,773034.9800499999,866603.1818,1020665.57328,27631.07185,667788.5544499999
2020/04/01,521162.6196,10191.62339,23866.52711,33069.095859999994,36113.92618,136415.93931,176158.36946,62326.754530000006,105044.98133,112057.15025,21205.80166,160477.78205,22989.29229,182484.00944,53167.8222,14407.39756,7649.69107,20040.846940000003,341351.03417,1017.81414,128399.63942,123953.46389,14487437.865510002,565807.2955,58584.2655,34906.74424,947370.89106,26918.8018,37625.20202,57458.71403,36647.44733,43517.35224,38503.91525,2357276.77399,103345.39194,479255.27604,164468.53468,241851.71587,571720.39595,33877.821990000004,31963.84999,183634.29126,10593.01697,5518326.49249,1417843.5254799998,77142.09151999999,641784.9320200001,18041.24405,68006.09371999999,116314.19756,416021.29108000005,73065.98137000001,2761612.13149,60004.26257,28136.42673,2988183.76713,38180.19407,481770.74578000006,5897.23041,53804.61551,-1191060.27357,1409406.6218400002,1711068.24113,48710.90127,1123424.92968
2020/05/01,675878.3631300001,13729.49561,30618.35601,41318.11606,44190.64074,174707.71185999998,217322.29284,81941.80657,150650.89208000002,147932.01808,27970.46755,206574.66644,24986.71636,242595.82886,65377.242170000005,17739.39473,9828.14796,24055.91396,432021.64185,-6285.84276,171768.03837,215144.71939,23114008.40503,835770.17258,73349.63002000001,40303.25727,1261361.27203,33780.467119999994,49824.30604,70455.31345,47054.35683,53607.92728,49587.08366,3077862.37313,125296.60662,638959.18306,163652.10872,319003.24341,747195.38821,43117.73752,40387.8591,231810.66065,14396.39331,7025220.88968,1835549.05637,101999.29646,800109.6799,23335.12669,89676.67567,153344.84608,542663.90235,92049.40011,3710982.59287,72967.14091,40572.44376,3600503.56012,42423.52216,608272.87137,7398.69871,64805.47789000001,-298902.66788,1536317.68376,2259498.46067,56627.85061,1396698.73443
2020/06/01,855432.38735,17541.37591,36215.32576,49350.91232,54258.40889,220327.31546,242443.84655,102449.7246,180202.37221,184978.59526,38806.54363,255938.99718,28829.04294,299603.4818,79034.3091,21489.62259,11855.379,28550.88184,524214.14481,-1888.19457,212527.44429,265389.08537,26865948.59424,1087665.25927,90150.23241,48484.47375,1534311.07903,40714.30466,61588.26710999999,88986.56332,55144.70506,60916.10543,62988.98004,3756487.67043,150866.14205999998,783173.7705199999,183816.82438,388441.02637,933755.15431,51610.62849,49482.72208,279622.31225,18435.43392,8022551.91434,2219485.47312,126540.26801,986033.94893,29594.11963,110222.57081,186344.72137,658225.59248,115766.14101,4718310.22376,81734.46667000001,55110.7954,4409967.6830400005,50821.42991,743720.3483099999,8916.48429,80642.73425000001,427757.46142,2022083.22755,2709132.51432,66701.33661,1705806.84284
2020/07/01,1028310.74105,20670.91186,42748.52734,57197.2133,64111.08288,257782.51865,346375.06936,123381.35511,211596.38875,240264.70824,49837.9064,452478.0492,32405.02607,379361.31173,92056.08449,25144.49728,14062.0466,34188.22932,620216.28767,1109.1464600000002,254738.13126,309152.47721,30666135.09105,1076809.9763099998,106784.04403,57249.0551,1796707.3153199998,47098.42502,72994.77653,104348.64971,62304.73892,67729.41749,77143.375,4428289.103379999,187071.08885,935280.68134,199171.58074,450962.93225,1118824.6446099998,64871.206040000005,58023.82616,336383.4081,23116.28534,8916479.99963,2602409.24365,152741.90613,1222137.49495,35843.96466,133849.53998,236381.1203,787723.1987000001,143923.03414,5651886.08251,94046.26401,66460.81224,5355397.77419,60751.77136,895851.80788,10482.59511,100101.75879,761084.45896,2396195.51819,3128843.43555,76304.02694,2113258.58784
2020/08/01,1227041.20968,23686.78291,53214.71234,67537.73466,76440.24492,309196.45135000005,410935.90655,146968.51267,245419.97991,286814.4068,60479.50183,502115.77182,37818.21422,455813.03231,106880.04867,30035.13933,24041.11353,42032.85229,732900.95345,4896.46242,306510.36272,360625.1008500001,34262467.44879,1247598.34055,124736.29674,68317.17020000001,2093825.52652,54095.24672,85482.0731,122553.97548,71004.60274,84668.29495000001,91710.56019,5177314.57176,235088.39476,1093762.0800899998,240422.07018,497167.92446,1334289.53749,79342.80851,67860.89578,415527.86263,28755.43406,11034946.05639,3071776.03696,177854.4638,1492567.92044,42848.69634,162115.25101,267450.97658,918589.48436,175884.70392,6643712.78852,125798.97614,74770.58014,6254786.63524,69224.42784,1072943.38541,12954.94086,123651.81339,639787.18901,2825435.2892,3621196.50178,89977.66927000001,2510553.85208
