,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank,NIM
02/2022,0.0048219927573744,0.0044938162067349,0.0079453607088666,0.0049224156738675,0.003980868072619,0.0059928685085525,0.0032754633567401,0.0053664938152453,0.005202915126603,0.0048060070133296,0.0082181178007146,-0.000639158047418981
05/2022,0.0044095830739398,0.0052952066433837,0.0086244403555372,0.0051758860112806,0.0042906584840907,0.0062669919596412,0.0044523540775256,0.0059887127787784,0.0063500961013739,0.0056561322496343,0.006858952476265,-0.0021557283095883307
06/2022,0.0044360677689844,0.0072030805279457,0.0079219203152649,0.0054460951845261,0.0046395706811267,0.0068466039762603,0.0062467615176046,0.0069004420813477,0.005249357601812,0.0083615397730378,0.0089091798439078,-0.0004120783319208274
07/2022,0.0048024127087589,0.0066321091095861,0.0085203512280927,0.0049738027427814,0.0047903498547393,0.006604938134618,0.0047498518409579,0.006990624014587,0.0047581101221767,0.0084306678277681,0.0092127901298124,-0.0004052406826477069
08/2022,0.0048826372517603,0.0068895356872982,0.006682200114688,0.0035232473426506,0.0036606632697254,0.0068125343205144,0.0047822684337698,0.0076547360508854,0.0050501986665674,0.0087567428794276,0.011721260985156,0.00184115323018684
09/2022,0.0059619768077701,0.0073521304857908,0.0061752604742346,0.0043979914747601,0.0061430935541132,0.0068142773777573,0.0044832003799296,0.0076206213539135,0.0049324151023678,0.0088415612115518,0.010879230980339,0.0005899328264824897
10/2022,0.0059611720482034,0.0077350193250764,0.006366609317793,0.0056043639446725,0.0053074896950562,0.0070712742558713,0.0047282186128064,0.0078746712544985,0.0048254985544065,0.0089568219003858,0.0109660527180717,0.00015486736582659248
11/2022,0.0063913459907616,0.0077221615024032,0.0065137997243693,0.0055788507019763,0.005301132613727,0.0070898968991304,0.0051738914721061,0.0075484184124772,0.004905412641799,0.0098014733548156,0.0102726919039319,-0.0006603098580551109
12/2022,0.0066721770350146,0.0076496756443282,0.0037243288397906,0.0050289632639123,0.0053978470748462,0.0075848229569957,0.004860841644894,0.0074929603371488,0.0065275464137338,0.0093315647599055,0.0102663977647494,-0.0003658360206129519
01/2023,0.0066755399130266,0.0074176759599461,0.0070822058901666,0.0066062095737892,0.0055623073888203,0.00747956107092,0.0049980895406316,0.0075411527999753,0.0049625974214604,0.0089144386167722,0.0103154348900597,0.00018524959249997634
02/2023,0.0057148282247747,0.0063922660067308,0.0060416344526153,0.0045351472385042,0.0045522154098387,0.0061834415716678,0.0036999121696088,0.0064840613194929,0.0045403730627746,0.0079252251729763,0.0089343385802952,-0.0003569214032267086
03/2023,0.006216722489597,0.0066886302326973,0.0067801759928535,0.0056068920941645,0.0050653421140414,0.0075852559197935,0.0041424668402917,0.0071651741285719,0.0050824112880108,0.0078127714275805,0.0095744651172004,0.0006594599763003386
04/2023,0.006032104316117,0.006605300586773,0.00698005747232,0.0047434720636074,0.0046573267254359,0.0062221139835714,0.0035312024246738,0.0063688970474778,0.004824860514337,0.0071729630738421,0.0088645652166905,-0.00020291130775793378
05/2023,0.0063929308492498,0.0065031635929741,0.0070912426295886,0.0055303929217664,0.0045073700582872,0.0072686110764078,0.0041342994723819,0.0074069661409014,0.0040274916713689,0.0080583255989776,0.0091990436697322,-4.818704134714434e-05
06/2023,0.0062550988560736,0.0067669979202379,0.0076027548014774,0.0053755346121097,0.0036788854977331,0.007108560255394,0.0042721131735653,0.0073492802717769,0.0026093864722941,0.0076186275106281,0.0092999007759681,-0.0003586502029863485
07/2023,0.0064570050375381,0.0072303528605671,0.0080910998649199,0.0062709435984235,0.0050511459038713,0.0076076254548226,0.0045119776351345,0.0076512479765037,0.0050500855979372,0.0077090658533527,0.0098899215122872,2.4358682639216353e-05
08/2023,0.0065200839102864,0.0072223941858058,0.0078591344845844,0.0055990221211059,0.0050439138971105,0.0070980299210538,0.0048372784950065,0.0077895376161304,0.0044844198138049,0.0076912219816085,0.0100991047372217,0.00029692856323032014
10/2023,0.0064865549150935,0.0064946994157285,0.0078331584722396,0.0055567218990922,0.0042871885746245,0.0078952516190086,0.0041888796369598,0.0071465711313251,0.0051429661229151,0.0068478449787902,0.0098552907492878,8.32081608208822e-06
01/2024,0.0064959650493837,0.0065631002610138,0.0077280629859174,0.0057414762230869,0.0047181216019261,0.0066379453366118,0.0046685869895399,0.0069890060913231,0.0045729567235709,0.0068393280358729,0.0102176813892797,0.0003294313172787118
02/2024,0.0059098315006732,0.0061722297237653,0.0069785896152869,0.0051128827498611,0.0044892079367264,0.0060946869528263,0.0044290035746837,0.0065843060968923,0.0041374965050594,0.0063950823299507,0.0096831385561617,-0.0002316204869227071
