date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2020-03-01,184356750.01339,9952182.486869998,14524576.69307,3351230.52183,105765412.21783,15794067.54665,6994706.04452,19251232.27792,15672796.746739998,9823188.893460002,3200196.2228
2020-04-01,188580259.32549,5248994.97816,11656001.35059,3560730.25002,104019869.09982002,9915859.8647,2286994.97781,15137804.41931,12528591.42131,4872555.477550001,3415937.1965
2020-05-01,204257329.35551,6600663.71051,13218399.99499,3411042.79966,108016759.41289,9263556.89778,3680445.54954,18096390.3244,10374327.87823,7375011.01226,3757511.6234
2020-06-01,210901216.92628,8668369.76269,15212397.42809,4274410.93564,111255148.88887,9412480.12972,4377724.306229999,21577673.07009,13360998.09328,9733956.45749,3560069.9659999995
2020-07-01,195472601.98639,8390238.65332,16633035.65929,3983736.24853,110997087.04092,10569468.19894,4417559.6334,24229406.39626,15738132.73554,10298127.14708,3354084.529
2020-08-01,196699310.78864,6236146.59674,19121059.95265,4084076.75353,115743982.247,11284252.62136,6227844.334520001,21399903.04564,15053322.05579,10236660.7748,3662741.1862
2020-09-01,199877640.38164,6457264.84135,15669349.88078,4250627.934239999,106343286.5751,10989917.73128,4703028.56895,20990060.108820003,13157524.458090002,10469066.74587,3955161.2898
2020-10-01,209124396.353,6349818.597259999,17784054.79178,4564323.99633,112264798.22764,11250572.66027,5652258.6172,23993309.35322,12918749.4807,10657666.95706,4529387.6068
2020-11-01,217279469.00031,8162046.59599,19489146.41894,4557714.52158,111916895.49088,11000531.99853,5886212.4869,20186737.20015,13422612.112629998,9762829.94174,5248136.242399999
2020-12-01,220704239.86633,7756584.255580001,18216189.47514,5271887.322579999,112025097.41967002,9620631.63146,5246857.387370001,18240349.15867,13870866.59885,9903651.89479,5452683.48492
2021-01-01,246443103.53007,7335544.00548,22447647.465230003,7387517.964950001,127422704.37906,12502721.23311,12166044.22558,29676457.84169,20274341.09887,13824574.61938,10635939.96895
2021-02-01,235778916.10781,9038251.62942,20069105.126710005,6938711.186199999,128189922.94432002,11257977.71782,10047940.38908,29554538.253290005,21160512.69658,10408238.699500002,11909460.22094
2021-03-01,234128849.20167,8498952.369830001,19369074.08956,6681874.83981,121497284.56453,13064993.36191,9081667.22768,29373212.54529,20905192.56701,9662914.921510002,11927863.45822
2021-04-01,230630404.09855,9510444.31965,22979917.35882,7002089.218319999,128983828.45654,13559632.58326,8616507.7017,27898412.44247,23614763.84891,9610162.20975,12324252.93536
2021-05-01,230888067.59377,7112921.852739999,22757864.21384,6049134.64648,135696518.24919,11941925.87801,9322022.61003,28236358.94738,23413149.12762,9658185.06993,12911124.19
2021-06-01,222678182.06962,10296248.33179,18911686.1758,6118689.54365,131266185.43498,11672025.35715,8748847.00642,27681391.54469,25870174.49593,10938976.52488,11148705.783830002
2021-07-01,215582776.5608,8114170.35395,20649418.41312,6203847.22127,123204076.17485,8451725.247480001,9125983.659209998,26685421.00751,27062674.06416,13283383.10902,12307881.12985
2021-08-01,214961133.82804003,8141725.252520001,26342354.68559,6086639.21701,121915102.33683,8255055.429229999,8395840.748739999,26338370.79331,24390950.08962,12576901.36525,14287072.9164
2021-09-01,208947197.5123,5005468.32619,18215504.41971,6021994.55863,112279547.25046,7984063.48373,7966623.23078,22285453.30736,20864448.12139,11261534.19739,13958556.249759998
2021-10-01,216008236.72784,5430704.42399,23454210.66637,6576982.508589999,120300253.94477,10282960.46043,7444551.64933,22234644.97608,20683721.52134,12397755.609800002,15010204.7449
2021-11-01,219663645.12088,7792774.305469999,24014832.2637,6764591.4981,110925503.59541,9615220.46315,7470940.9511,24244882.0707,19596152.75997,12328892.61376,14653495.6977
2021-12-01,219160562.7306,7385545.130649999,24820048.09727,6921674.24522,110087108.52912,11615333.96591,9584119.144770002,17452073.81722,19788673.24139,11295138.03323,13943049.23073
2022-01-01,248381291.14712,7724233.032749999,32035075.85287,11416197.606850002,126429171.97558,14575181.62659,19321639.51368,23126654.1165,22706860.100880004,13557957.08545,19647779.81003
2022-02-01,229333225.51555,8784437.12147,30136236.78497,9088723.41698,112312730.23936,10422653.894050002,16332818.94889,20388885.84611,23043261.13422,11536320.41408,15186547.26608
2022-03-01,217660286.31978,3541618.1593,18291748.52067,6145609.52515,117197998.33512,11325746.99639,9455674.974769998,24546722.85038,11328808.41565,7238143.1384,10365228.82378
2022-04-01,226099030.24087,12252430.66352,20273879.206090003,7010779.27733,124666506.3014,16040117.4244,8422081.923,27546369.77608,18046036.12017,20219835.11095,22220452.09484
2022-05-01,234462408.48556,14268357.35797,24904222.35579,4791285.705150001,129749833.91887,16363936.77014,8310636.46697,30182148.85263,17322383.91557,22639773.18129,24124538.90062
2022-06-01,246773553.29208,15715498.7607,23423769.27575,4727240.12882,123847614.71985,14516932.84451,6340853.09505,32240531.16033,15666450.6768,23267012.10377,26163938.93434
2022-07-01,268097360.29153,14066635.34645,24593865.43092,5285429.03308,115565940.70202,16148941.30666,5879541.68355,31771605.5592,15193506.24543,26221036.00052,23395835.19157
2022-08-01,290565337.93424,14504453.24469,24487566.376690004,6469295.140389999,115029189.71604,16252735.71676,6130293.61033,35123866.96662,16006697.45061,28804128.72252,26377200.64041
