date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2020-04-01,64178.44628,4913.61615,38848.68896,1890.20712,1417.7565799999993,4294.93748,1542.15373,31370.9037,103066.11901,147070.82126,91350.64988
2020-05-01,112731.80883,13418.225380000002,40163.57069,2343.74974,5653.93996,5413.8147,1771.17956,39026.503820000005,125966.24189,157647.76415,3991.434930000003
2020-06-01,143805.48896,19438.13772,42740.57278,3456.81445,5935.3277,7414.01854,2211.23678,48333.86044,144351.74079,165608.41399,3591.3846099999937
2020-07-01,171349.54649,20555.96356,44465.34172,3587.98211,5466.287469999999,8340.16793,2368.72015,61891.38396,179255.09182,182396.91658,40589.37823
2020-08-01,188445.44081,21757.62937,48037.45006,5040.52514,4962.971440000005,9675.63711,2587.04484,83823.92654,214000.81285,191806.87529,10457.771609999996
2020-09-01,213574.48148,24666.44415,53154.193470000006,5261.21342,3812.3925500000005,9540.06376,4634.984710000001,100116.31301,231561.90971,202520.52546,7152.345319999993
2020-10-01,253339.06736,26815.49295,57109.75266,5912.59159,2933.6702499999956,10416.54423,4961.54957,112102.10724,289059.76385999995,217112.51613,2415.25483000002
2020-11-01,284303.3203,27835.98412,65230.7527,8735.91358,4317.239610000004,13110.41937,6277.40557,124157.18219,324306.92581,229975.51974,2900.566040000005
2020-12-01,300112.36625,28443.86807,76233.11667,12434.86726,6732.825879999997,14597.31671,7508.208619999999,132842.88251999998,350859.78199,242169.1458,7018.103849999985
2021-01-01,337726.50393,32521.00726,89863.47243,16264.53554,15598.05012,15545.45676,8472.879669999998,163123.13092,434895.11995,259983.23911,18918.88924000002
2021-02-01,42186.81601,591.84623,13618.657410000002,643.75099,5686.21552,1645.581,667.4585400000001,7845.2774,27564.20488,14658.39976,-196125.89084
2021-03-01,87730.73761000001,3570.03848,26576.03413,9409.80563,4741.6831999999995,8097.14153,1621.3313899999998,27944.14035,56240.6244,29803.0326,116924.9205
2021-04-01,146985.4237,7085.52996,46033.76259,11916.40405,64267.76143,15872.78869,3130.96061,45157.39635,202391.64055,155685.89813,89335.51955000001
2021-05-01,177229.25832999998,21158.08056,60659.37251,14985.22114,4722.089720000004,19511.8322,4033.57494,64970.05418000001,289527.83081,162765.01665,28655.78011999998
2021-06-01,193288.57585,21859.24809,73104.64708000001,17508.417250000002,6940.144270000004,23807.2168,4795.39345,74206.91199,312765.0025,166556.63177,58183.1225
2021-07-01,225231.50003,22010.83996,88795.46257,21732.4415,7000.758999999991,23581.19837,5447.64521,84649.5386,341262.41847,199208.32757,75788.29393000004
2021-08-01,245197.69885,24378.98948,103770.51328,23675.36639,10956.132240000006,25179.77474,8953.93675,93371.59953,368385.10436,215290.27647,160434.72762999992
2021-09-01,265341.23079,25289.85018,119413.67656,24795.50013,4289.702439999994,26559.42883,9668.17705,108542.43369,407438.99458,227202.07518,4486.296990000061
2021-10-01,340983.23425000004,26951.81533,140123.97506,26589.79788,5478.72176,27848.70436,10550.55058,121698.41433,435678.30047,247031.24362,3986.901930000051
2021-11-01,358844.04134,29393.9376,158895.83218000003,27177.41326,7658.888640000005,33767.75853,11514.29017,130563.34283999998,470397.28321,258126.98294,29770.093179999967
2021-12-01,390160.48564,29632.18678,179727.59691999998,27500.5763,9061.02231,41216.10835,16848.506100000002,144383.14432000002,526133.41828,274979.94226,171868.02734000003
2022-01-01,423603.23749,30170.83031,203719.61184,30074.59603,8597.621289999995,59600.58484,18351.70688,157732.58232000002,609460.16992,286156.56788,-75811.84175000014
2022-02-01,24780.73702,856.18544,15287.04187,866.2059399999999,4774.44229,2470.03456,555.36931,12257.70091,23216.43479,24974.66644,-647870.3589299999
2022-03-01,43936.60238,1612.6600600000002,32492.9886,1712.22746,8557.147830000002,4852.384599999999,2204.62249,19615.80489,44803.11346,34249.586090000004,23544.19402
2022-04-01,99946.65977,3772.48727,35763.99825,3505.70565,867.181419999999,6186.82361,2397.63694,20151.79286,51626.22237,164135.99098,16143.490829999999
2022-05-01,112611.04177,3820.38044,40102.00339,3979.48455,2838.1024100000013,9298.86422,2797.04352,21666.66469,59489.60362,166123.31685,27335.429370000005
2022-06-01,115263.64273,3864.16116,48939.30909,17580.73932,1685.6530999999995,9494.34769,3300.03724,22620.71179,64838.8306,166700.82450999998,16977.79943
2022-07-01,223796.47034,4889.6623,60365.46308,17837.443199999998,37715.20151,17018.46989,3698.51643,29220.7889,71091.49139,185878.25419,34478.0791
2022-08-01,235783.40131,5100.69021,72219.61089,18405.6462,19493.59152,22207.65979,4722.30029,32462.28421,98019.13442,211959.78612,14925.07329
2022-09-01,244565.04859,5367.48049,82288.48397,18615.91071,4345.358939999991,38498.85417,5427.21131,37199.06046,111067.83656,218039.45157,26242.277830000006
2022-10-01,253904.21541,9010.24944,92354.40672,20213.98159,3286.487030000004,38654.92912,6505.42673,41064.69368,128190.12308,222634.82848,596078.8236900001
2022-11-01,262528.50797000004,11518.44439,102238.44454,21227.00058,13168.13996,43557.56572,7582.10579,43489.37604,141319.82216,229254.00257,12816.857549999957
2022-12-01,464328.73322,12906.35225,114362.82576,24003.6244,4516.617119999995,44702.21605,8414.98632,47102.61469,150466.77381999997,233042.41773,93817.25737999997
2023-01-01,611809.26757,14077.02493,132889.43609,32278.52286,12097.945690000008,48934.48196,9290.28208,53144.33741,206496.61329,276119.62808,6153.56276999996
2023-02-01,18566.14265,168.34339,15843.12784,564.57983,16855.73145,5670.23301,1072.02206,2359.92471,9643.12331,11806.88678,-857499.69066
2023-03-01,28427.73412,376.09666,30029.77045,2881.89423,3488.509170000001,9844.65828,1863.04156,4467.16105,42076.80116,18906.053150000003,34225.70966
