,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2020-12-01,69938.57474,174531013.27145,411663.503,4046577.34447,475546.24767,36398600.95186,2186538.60489,1110127.96526,2022897.75815,133234.09828,94815.94708
2021-02-01,95981.43895,168988920.40671,383169.02792,3028575.71983,462514.76638,29692733.880620003,1658627.63827,1117483.6986,1021791.42508,188879.62321,93553.8151
2021-03-01,149167.17484,168761785.03693998,369671.70422,3100942.49603,513376.50026,29553639.23043,1630737.73164,1157973.90037,890162.32677,175031.90033,92637.73917
2021-04-01,73484.53719,166621670.24165,381157.99227,2774439.45857,526513.02144,28938127.76651,1625847.20016,1133504.12526,895148.32462,139451.39156,91868.86921
2021-05-01,68629.28825,166700629.94297,644544.3561699999,2729261.89661,531487.68058,28332265.80105,1508909.21796,1389799.82793,908595.56766,694962.7576499999,88322.19612
2021-06-01,68385.41556000001,166687845.71038002,523353.81563,2731982.41332,480300.4328,27708148.00052,1467740.24544,1123039.2867,867347.40723,142021.49056,88114.00616
2021-07-01,70547.30961,166550588.54946002,458566.70214,2745303.4569900003,493090.74274,26341711.23966,1420908.88319,1105215.52327,846326.49184,141740.6239,86393.72704
2021-08-01,75230.95475,166521984.97367,434640.65861,2753090.81955,484569.94023,26124369.46746,1598784.55689,555976.42896,815792.15951,143276.49297,85954.61661
2021-09-01,78942.33117,166618047.56274,427626.17239,2726713.22916,449552.45632,24056492.34988,1309112.23455,577988.44559,1018525.92413,138934.42857,85792.90387000001
2021-10-01,82723.77268,165614748.10048002,418592.63471,2779195.85075,387335.24867,13713500.39691,1118694.53497,568464.27483,806770.13782,221490.6343,80808.0418
2021-11-01,85367.48694,165384664.28005,402944.21302,2735934.9209,353895.80259,13871858.68658,1185680.9328,498693.39398,776547.06464,251326.67461,80053.92946
2021-12-01,84036.22435,165859033.06304002,396076.88244,2824673.33833,329395.60435000004,13932570.94027,1049440.72572,439461.43468,773329.36991,255171.02769,85349.1406
2022-01-01,87968.72601,165155621.90535998,394351.41052,2844009.11765,336262.93812,12847245.01008,1127350.89303,431619.26116,750678.60299,530129.17712,86206.19787
2022-02-01,86706.01702,165839663.11314002,440874.30891,2910032.53644,428000.11861,13015822.51734,1115486.17137,463110.78622,752031.91518,499921.32603000005,118983.98721
2022-03-01,92345.09977,166095068.34162998,396387.90573,2999862.49132,424573.12656,13145491.41728,1124460.98234,895899.0016099999,713382.11782,452630.94285,90366.10118
2022-06-01,89580.0428,166916948.88,388117.92673,4707116.20137,881786.75293,15111582.72719,1321775.21613,1287068.17234,1080139.76661,768932.1138,90554.57395
2022-07-01,125909.76363,166710251.94508,1276616.74967,5583718.59909,978532.55494,18381148.14453,2966532.76102,1533570.61869,3103333.26401,1162827.97939,90303.38454
2022-08-01,162075.37449,169747228.10384,2057253.56889,6479382.6476,1020644.67577,20154887.11476,3375652.51234,1838700.02283,4119670.08092,1679723.64719,110698.77765
2022-09-01,185614.84082,170000458.99709,2302192.62662,6323446.45636,1073763.95073,21120520.2137,3473978.27419,2027087.53805,4817203.08235,1490175.05937,111007.15715
2022-10-01,349190.99507,170357227.81028998,2322743.2439,6224182.76636,1083854.31914,23912950.83298,3571515.99669,2945634.36419,6107533.88383,899146.05475,111166.8127
2022-11-01,435248.53247,170508050.91049,3148669.69191,6272775.18042,1236053.23615,29206500.99137,3821802.51928,2584325.59437,6943107.52473,902624.10551,110387.68041
2022-12-01,432267.98524,170578608.29969,3247939.11489,6620822.08461,1198790.97792,29648901.88786,4373963.65782,2577747.3144900003,7097445.760709999,945673.04864,112569.64929
2023-01-01,410914.35152,170160123.94758,3492449.12709,7879076.45879,1303027.09639,29480178.16049,4297263.39658,2602297.77117,8813662.66665,969360.06855,112854.35007
2023-02-01,412827.25467,170373639.87138,3557566.53924,7797808.3666,1331951.32187,29856767.96455,4374659.78405,2333619.86798,8861533.0229,996625.03426,113654.65294
2023-03-01,405537.46181,170398329.24675,3443414.59195,7394310.70723,1253246.46983,29503306.02475,4629596.573129999,2120258.60268,8817517.34564,977122.97548,113521.17062
2023-04-01,400539.94106,170417173.66496998,3407056.74709,5345739.80248,1316902.41451,31399800.70169,4812500.8217,2018763.0563,8773167.59103,955823.16963,114581.27444
2023-05-01,396196.29052,170503015.39839,3322774.88221,5403984.67167,1303196.61247,31987996.00893,5303391.383669999,1924722.87934,8710224.52017,887922.84773,116185.75034
2023-06-01,385899.7023,170657697.7934,3235146.17701,5419565.75206,1263055.72541,31628116.38625,5252000.30952,1945138.87533,8580488.48115,869940.4824399999,116553.53027
2023-07-01,382465.2632,170667242.72445,3572937.11913,5178896.6998,1169705.38692,31395520.92266,5269661.79833,2222494.72825,8534732.51277,873510.31538,114418.39535
2023-08-01,373878.94766,171308675.60075,3556807.65515,5182759.83041,1153672.75378,32862262.24443,5140642.84984,4711398.59666,8614557.6479,877475.76103,117048.14788
2023-09-01,375195.79275,171379721.4245,3486999.66965,5242130.7968,1096323.44389,32854898.48319,5471104.20438,3607032.98106,8560658.756509999,876621.33489,117712.7757
2023-10-01,366710.06189,171413047.76294,3429782.56195,5050825.35702,1032998.58931,32448562.33374,5184677.80597,3546199.79952,8420888.979629999,851509.1737099999,116729.34155
2023-11-01,371747.58582,171518220.48255,3376229.88012,5038438.68349,990074.85059,32004788.26377,5159708.58302,2465054.10357,8304547.41566,1031314.83398,117419.59696
2023-12-01,357940.64878,171524134.72985,3403627.60433,5339625.72012,986638.59666,30402348.9632,5047172.61917,3024728.21448,8431642.81008,1047645.49477,117887.03628
2024-01-01,356281.20943,172198649.43085,3251660.36807,5733285.20372,881862.7356,31255732.79186,5226859.94818,2977765.68864,9298422.83173,1274290.11038,116815.35508
2024-02-01,354285.87663,172180164.39236,3521049.48917,5897977.91769,847807.40901,30620973.504800003,5210943.03104,2826815.52169,9363268.89547,1274564.25392,115906.06319
2024-03-01,352132.93974,172314422.32956,3440498.0440100003,6044166.457330001,798442.2405900001,30549892.62078,5239763.431059999,2817828.53499,9206586.30985,1292455.23518,116666.97552
