,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2020-12-01,975731.83172,187651024.87317,23826241.1539,26588464.91966,7628415.14311,79597524.60369,21772455.11304,19621170.86373,42091433.81051,16805174.08647,2649452.41029
2021-02-01,1105175.80854,181710870.95094,22581998.51417,26733089.08967,7634786.1121,77370385.01411,21551471.8183,18113470.38515,39970098.04236,17018607.96948,2878051.36931
2021-03-01,1082726.74085,181785152.67527,22811080.62691,27167193.04323,7571263.19251,76957019.53528,22268645.58301,18536542.87584,40294371.01563,16884118.413990002,2984112.79493
2021-04-01,1049176.60024,180950719.98331,21004639.75119,27426800.96823,8214545.44139,74781179.28308,22253574.72366,17574519.9958,42594154.57981,17501948.08913,2573418.93999
2021-05-01,1033917.64605,182097676.61116,22321839.2985,28139466.71239,8478896.77253,73411187.52988,23442477.69689,18350031.91422,45790508.45938,18603696.48803,2620883.1040600003
2021-06-01,1081173.89674,182153737.41459,21987975.38639,29131313.79544,8824154.00317,74853386.91991,24256737.32252,19629771.48033,47504272.36603,18409141.72287,3050021.95853
2021-07-01,1260032.86441,182561445.87516,22438101.39811,30608000.82666,9408794.4248,73860760.78694999,25804884.69954,19787285.3461,49581702.32157,16108426.4361,2759948.97726
2021-08-01,1325473.75476,182072637.32169,25119189.61533,31482978.21463,9644562.80223,73098525.15073,26317695.29174,19342627.56197,50479433.11661,16843712.18728,2650677.09715
2021-09-01,1490251.0745,182616940.44171,27456204.31309,32211992.74947,9811511.01538,71943770.41062,28215915.27338,20050494.82998,51986042.55207,17800880.77983,2144566.62413
2021-10-01,1543361.54831,181918875.57991,30920460.68457,33761578.33082,10031833.25302,61741198.48554,29094558.24742,20326103.07344,54168593.77332,20059532.31381,2206042.71977
2021-11-01,1608894.98594,181357934.58679,30483583.26656,34924988.97331,9976503.25965,61339801.01484,30373623.33461,21327290.52604,57756273.66382,20206684.45082,2179908.20945
2021-12-01,1591046.81718,182576164.55809,32707756.0856,35689795.50368,9995118.83174,61353452.54319,31609392.57988,22686542.01903,61181584.30086,22226631.37796,2239880.04615
2022-01-01,1759926.8263,182733184.03065,29545120.59015,36148712.40901,9111803.03528,59601217.46124,32850431.92698,21089468.96253,62428135.193160005,22233049.20176,2401264.2675
