date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2020-10-01,42265348.0689,2674900.59242,6799553.95651,1761043.15687,13470129.9601,3919710.93851,2093276.7439200005,8553843.990389999,8133243.55588,4531599.49328,3190220.29399
2020-11-01,45830939.63836,2977834.37362,7618262.5312,1981212.99706,14884229.05943,4356005.38236,2316029.7247,9510031.72082,8951556.73502,5077575.53354,3604396.73893
2020-12-01,49501234.37431,3278017.7408700003,8480190.03078,2205183.52495,16147655.32846,4816537.72066,2612632.94298,10386410.34974,9875930.94396,5517124.75837,4085816.3721
2021-01-01,53463078.35796,3620936.25464,9078465.90345,2441475.13197,17131826.32847,5358529.44762,2746172.89646,11399160.21646,10893122.77955,6086469.0088,4671640.097829999
2021-02-01,2841694.19327,302957.89813,883030.33546,215295.12145,983688.17319,471076.20152,242058.26455,916141.78082,903042.25006,435704.83537,446447.47565
2021-03-01,3999809.15818,594923.3225,1750949.32234,420246.67116,1543042.92171,907782.90972,470124.01105,1814044.82075,1761089.04099,888101.16984,1097144.52776
2021-04-01,6330421.7746,931797.03928,2635183.52598,647093.61266,2715062.17832,1446324.01496,780322.1746299999,2824862.55618,3063328.4434,1509374.9233,1980431.23836
2021-05-01,11714621.19796,1284784.93777,3554487.41081,867869.25117,4151388.37256,1986469.99522,1121349.52309,3870333.17859,3992419.09574,1993532.99492,2682044.01809
2021-06-01,16024234.75977,1609337.20774,4492814.99895,1086825.21893,5304462.34856,2509134.98739,1368712.77682,4842537.12514,4883860.53308,2485915.01101,3417029.44003
2021-07-01,20552161.64838,1945513.25609,5413380.75795,1354870.85103,6547975.557519999,3046610.8174,1595246.81933,5878564.23883,5835019.06748,3076021.9473400004,4194778.26223
2021-08-01,27031911.44345,2318487.63597,6382345.442290001,1585407.73883,8183880.50069,3611321.73345,1879686.53445,6973586.88975,6893848.32794,3630288.145,5102449.567100001
2021-09-01,30615202.68267,2691712.12987,7388150.92755,1816671.45392,9470564.50782,4163547.7083100006,2168123.53589,8090559.80111,7965171.35306,4193766.46767,5886863.30092
2021-10-01,34634261.47342,3055275.09974,8459558.65226,2042604.83979,10379157.45144,4740822.67337,2430314.46011,9159692.92633,8986893.556330001,4779397.88014,6683857.43747
2021-11-01,38991075.24629,3452842.93013,9621144.18679,2274889.90324,11228006.28845,5340223.83164,2710468.83455,10279123.60621,9990481.08274,5366186.245879999,7586128.86838
2021-12-01,43310910.504250005,3840429.25338,10787119.34156,2512000.96716,13220285.07212,6008005.58121,3018687.02184,11361840.37536,11276950.33901,6080724.45131,8501494.631760001
2022-01-01,50937542.13494,4267791.767890001,11917727.81844,2781113.83746,15567435.11939,6611751.38524,3372255.8978000004,12672632.55982,12667675.4398,6753964.87921,9419702.18003
2022-02-01,3455524.62621,411108.83295,1280100.7070000002,250772.55003,2290680.33188,644077.71896,331276.28637,1221747.27067,1454101.49015,676280.6814,1085955.42292
2022-03-01,8647251.07503,813920.9391000001,2407125.06742,463424.50413,3491972.9794099997,1257549.29118,491603.69631,2412819.96575,2794337.99037,1257804.2425900002,1811859.00154
2022-04-01,11031868.88032,1228728.56947,3624470.5669,682389.81627,5712396.97771,1837186.6717,758635.22084,3492415.82196,3910536.10433,2014177.35781,2752949.0779500003
2022-05-01,11943523.07258,1656710.97864,4813162.59052,923457.04109,6452408.83054,2407013.92498,1062648.20913,4489939.552130001,4830837.46807,2740442.3636000003,3430866.94144
2022-06-01,18984368.89129,2155007.93813,6110259.00035,1279155.68112,7536289.901719999,3105209.35502,1468910.27038,5915987.60915,6057526.61936,3553532.71322,4736281.35744
2022-07-01,25510589.33911,2747084.95504,7333198.18502,1603543.0046700002,8660906.235779999,3893093.70028,2083804.13152,7550041.475959999,7162280.48482,4727274.90642,6645686.07051
2022-08-01,34309370.51397,3415671.7813,8719507.873230001,1945126.0411,16237437.33461,4674635.694759999,2475850.84796,9495619.7124,8888396.840060001,6309376.32672,8124491.548300001
2022-09-01,47759437.71486,4043950.57574,9765850.81989,2170056.08114,20746440.77542,5479934.64689,2841452.43077,11338426.12384,9696023.0826,7407037.17304,9153105.48652
2022-10-01,49666707.48211,4690837.68067,10860582.48854,2456886.22689,23410956.32142,6259062.8975,3247139.1326900003,13354870.19226,10534000.71007,8520105.61592,11169768.35069
2022-11-01,57299493.40386,5346601.20241,12003225.45842,2791882.07499,23805962.84037,7089542.33801,3602533.03075,15246351.29837,12246103.57127,9813198.72603,12465948.79739
2022-12-01,65432480.73399,5900125.90084,13325855.18194,3142698.0114,25635458.9128,8033579.39446,4010255.75492,17248959.90672,13161965.58839,11155700.22328,13880435.00129
