date;cb privatbank;credit agricole bank;fuib;kredobank;oschadbank;otp bank;pivdennyi bank;raiffeisen bank;sense bank;ukrsibbank;universal bank
2020-01-01;552058120.19656;37243986.69776;63215304.791310005;19867892.6163;314674544.63779;49297258.14787;28155627.938270003;95158659.83119;87904918.81477;55546454.7834;20103053.96487
2020-02-01;555361374.54915;40391678.25660001;64726408.54092;19500274.16212;334445381.63472;50636047.78637;28936676.46491;89999648.10434;89918224.04138;56499217.0449;20751681.99397
2020-03-01;560700425.18351;42273586.48001;66130007.11611;19570813.13438;313457973.19079;53004917.63356001;28511949.81811;92275102.37746;89810827.5767;57139544.51899;22015505.59819
2020-04-01;572099553.99411;45247765.36816;68489365.68944001;20992289.450060003;314429347.87083;54215401.43382;28878805.36364;98662062.16263;99273835.81139;61851226.8108;23330681.34475
2020-05-01;580817281.71742;44310008.35676;68044261.31123;19980153.738;310394753.83647;51414315.18471;27498320.04441;97134964.84278;93485715.62047;61203478.16245;24090396.33083
2020-06-01;590589958.4092;44032465.00717;67569016.42859;20698069.98952;310783639.17161;52280904.50405001;27644833.81138;100896306.84986998;94113244.53354;62158454.76909;24918566.63765
2020-07-01;576387664.35504;44540175.13486;68349914.78168999;21723818.41174;272170777.17387;54070272.94593;29836894.331710003;102345213.57938;98194375.08623;65401554.86207999;25197060.289120004
2020-08-01;585208192.92047;47123095.14486;73989701.69475;22483629.91908;275812938.14492;57052048.49401;31293968.54542;104172421.63068;101379457.98792;68630637.18428;27230897.89369
2020-09-01;591896422.06266;47685495.24033;75446879.52658999;22968359.24392;271680581.9245;59097352.37013;32113890.090480004;105208008.88538;100488850.70116;67146116.37268;28049007.197070003
2020-10-01;600145190.2381;49521871.28898;80499496.28237;23966824.48816;266290179.86523;60731538.26252;32325196.94719;109230189.84536;101640098.57208;69464839.65865;28890951.94539
2020-11-01;572448056.7411201;50919269.38648;81833589.60858001;24423756.41994;271908630.5189;59959433.68639;31100974.2079;108513065.83107;99492354.45712;70480531.71271;31167856.83122
2020-12-01;556545773.89808;52794275.76803;82042288.75735;24853361.2194;268398897.67600003;60404989.34009001;31805285.65555;105237271.56216;102980161.64195;73267193.00003001;32315635.42008
2021-01-01;566179319.9185001;52053778.91423;80871343.97868;26173800.29881;268759302.6474;62824339.49791999;37387364.84562001;113628316.55458;112494706.04028;74638058.62934;36926291.93623
2021-02-01;560261598.85777;52865379.89766;85590789.53295;26806056.61531;278543325.81922;62464891.81391;36518658.58009;117493463.52263002;111511057.32084;72449199.56216998;38706364.48624001
2021-03-01;561062326.9796299;52668520.6349;85516056.74177001;26187788.8692;279701845.27692;65064002.08460999;34953599.33858;118335544.58731;109940523.73769;70322063.00324;40200252.46759
2021-04-01;554920282.5585899;51977968.80525;90170349.2985;27206932.60999;288524033.62071;65579281.60382;35216764.86838;113723223.41348;110644208.19925;69113888.36397;41579450.38106
2021-05-01;557603741.87708;49864845.4996;96472611.05918;26823915.352610003;290753315.76309;64294080.34683;35967673.7134;118823653.78353;111653201.08914;70503708.99846001;42710515.91071
2021-06-01;550580707.3690901;52724341.56695999;92738036.58823;27353058.98268;290783132.45919;65853593.73888001;36963174.45113;118997949.43862998;115229464.52977;71950968.88232;42959632.13721
2021-07-01;548750291.16003;51766148.76332;95833419.12877;28253806.11008;276441936.74131;63899718.11;38011846.93556;122471901.10124;115596671.67419;72622090.40439;44734355.72384999
2021-08-01;548026291.8194;53695670.28888;109270544.52309;28326672.50912;272615869.87454003;64642448.96609;37285643.68277;124630547.40933;118495463.75621;72459429.65937;47636326.61043999
2021-09-01;548487622.1473299;53317702.84054;99906500.37433;30022768.19104;254538577.87985;65765118.033010006;38605471.16998;124664080.24136;117096908.40007;72836032.86136;49029391.87308
2021-10-01;550327570.4034599;57581017.1447;111767609.60111;30467897.49492;247440962.40225;68058282.79502;40722966.04634;125025499.01558;115433763.62854;77558555.49386;50870195.81734
2021-11-01;552367718.88722;59177345.78823;110279499.53319;30857570.45267;239328624.06456003;68025786.37357001;39249426.8845;132363039.94672;117112428.28707;74930073.44074;52780579.88115
