,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2020-02-01,103773.05463,17402818.819700003,672963.36409,1599977.80481,657909.30185,6211419.27452,1037478.60786,1373562.07528,5205580.706619999,2395258.49641,357217.06940000004
2020-03-01,108394.93107,17932185.4881,716705.6247200001,1765600.2587,730962.52986,6050090.09808,879453.1232799999,1342327.77368,5328739.30561,2241435.86793,259444.37733
2020-04-01,117818.49708,20300102.68781,855686.82489,1679366.42224,633605.5678,8390289.14145,1230954.83199,1990951.72884,7502581.0756,3691835.14667,726620.22081
2020-05-01,138761.86253,21542013.78499,933451.45332,1533348.74794,643081.72348,7335194.33477,1318345.65226,2397318.80173,5519979.347359999,3327002.4389500003,613227.74119
2020-06-01,169430.21217,21470336.24112,900734.0875,1707520.84573,672353.5989,6776593.879629999,1524569.5850900002,2256752.06332,7078850.72853,2996628.4342,677847.45147
2020-07-01,168115.77923,19865523.74215,838389.9998699999,1876978.41636,752381.2460500001,7777918.87813,1544777.0949199998,2224258.1277500005,7467775.5724,2943552.8468500003,556984.27741
2020-08-01,190815.26194,20493765.80987,1055290.30918,1909460.22285,691156.46143,7092484.97922,1487170.57471,2050642.6943,6999418.5934500005,2967401.26452,525364.2091399999
2020-09-01,209235.4435,20614270.73004,968325.54876,2190782.93802,641210.22583,8645564.32236,1413460.52774,1852463.93447,6618247.42059,3389104.9201200004,542153.5483200001
2020-10-01,249540.54072,20203523.91374,1008769.63811,2488227.74169,598498.5025299999,8593498.72012,1456496.32963,2140504.52576,7820578.53837,2664529.41982,547808.9898099999
2020-11-01,253569.52956,18274682.53786,1142364.53015,2851427.58807,623664.71143,8440906.65997,1275825.8955700002,1541135.68203,7238700.37525,3764476.60261,509021.07836
2020-12-01,256496.97572,18148714.01106,981879.21467,2932938.1169100003,687234.97109,10204543.88979,1356013.29719,1705134.9441,8297547.3655,4025269.47852,566378.6426799999
2021-01-01,293403.86127,20987764.9489,1099861.8926199998,2463902.36511,649423.3270899999,10793959.20548,1225479.81819,1755703.4678,10667106.73885,3559825.8143,612116.61146
2021-02-01,350632.25462,16917159.40764,1220353.01809,2280752.04476,693215.68612,10157828.09105,1372333.73087,1904300.80876,8712975.910670001,3744069.50443,649788.03414
2021-03-01,387661.11327,16882006.179309998,1107608.55885,2109911.46873,713857.5270400001,10637493.7543,1512194.20207,1840320.51029,10368779.99696,3729233.32743,658154.3003199999
2021-04-01,374690.72502,17791529.55646,956255.92012,2104565.68532,743779.6988499999,10675527.16571,1696000.03122,2173587.2729,9348291.66939,3421240.91678,652717.4027
2021-05-01,380948.35972,19482848.11949,1239946.62034,2033831.33016,730835.43896,10563627.36013,1381819.89693,2271496.78778,10446382.76038,4236219.58448,577214.324
2021-06-01,442637.97705,18134730.19406,1131833.1322700002,2176337.2531200005,733649.52938,10481296.94244,1420988.19353,2123612.40234,10412166.55908,3885378.71878,609016.3537900001
2021-07-01,588861.8071400002,18539886.69325,1001286.68919,2090163.3474600003,673424.5263200001,10006453.05126,1534000.17003,1711045.1957800002,12290007.46536,3360896.76991,715250.38527
2021-08-01,479462.15312,18093311.87141,1189139.8393,2316458.99063,683249.72886,10000808.02677,1352230.48034,2151884.12252,11327119.43237,3047320.2128700004,659598.97733
2021-09-01,510442.40398,19113340.52566,1246962.31717,2957624.43168,765120.9492299999,10439610.72068,1470603.62851,2096206.31585,12499132.12369,3546122.25431,590944.2112700001
2021-10-01,671718.60232,18788666.69851,1170995.33013,2775277.05162,776350.5652500001,10160744.86724,1482793.3017,1895019.22939,12099251.14045,2699379.25275,622690.23303
2021-11-01,589034.75557,16617621.63233,1125650.7818999998,2595660.4454,716002.8338100001,10391864.86804,1402381.65385,1837794.51875,9502929.46371,3139942.654610001,582265.73212
2021-12-01,756079.52727,20067660.92821,1249230.85291,3347606.83723,691052.62447,11793232.78275,1431089.18173,2165690.21566,8704742.27201,3479052.68884,624414.5633
2022-01-01,746283.03041,21027248.35084,1104845.9783599998,2657384.49224,834992.66661,10850521.51471,1261374.86528,2586321.64608,10600311.16231,2723482.31758,634979.6145799999
2022-02-01,836889.7312,19544523.64244,1347018.4033400002,2757894.6041299994,800157.7783499999,10619151.37409,1380513.0990600002,2099014.61633,10812736.67853,2940475.66834,580225.0638100001
2022-03-01,594575.21262,14775679.69745,1135173.8475,1888738.29705,948422.64098,10400332.68253,1186260.64542,1166432.00686,11075689.86773,2244620.3900300004,359050.91589
2022-04-01,700210.6225699999,24637308.06503,1490407.36363,1867459.42145,946298.77191,13861140.74789,2422779.58412,1257503.27816,13342759.064669998,2324464.96487,594952.2517200001
2022-05-01,784070.84691,20462498.59388,1529021.42394,1786293.7926,987929.52989,12108511.68083,1941280.3983,797121.29043,10832950.96246,1979410.60339,594568.5625
2022-06-01,697823.55835,22310500.37649,1468747.5529600002,1389552.70364,931031.8096,12251626.5764,1407426.5679700002,1159037.96882,8533273.40651,1949922.80981,636335.07878
2022-07-01,766865.6638499999,20844772.82526,1289393.9358,1766091.02878,810570.5789999999,10939695.373039998,1136182.21544,1444631.2278,7799200.03357,1828061.28284,438859.52123
2022-08-01,692794.2965699999,20142913.77936,1290441.8879,2363020.85754,1421035.87263,9318978.68058,924593.5012,1532075.56519,7895124.635919999,2013801.43067,611260.5091499999
2022-09-01,981625.52692,22028891.91301,1174710.28894,1788297.43589,810295.08871,13468407.12854,1001173.40984,1121591.2607700003,6609238.70714,2027156.46657,497260.01405
2022-10-01,1598614.0175,32749495.6114,1252530.2499300002,2798586.35548,1393234.49271,13760659.1288,1572643.0974599998,1821247.59181,8542108.1866,2185160.70059,1371267.20238
2022-11-01,1063441.58595,22876318.27043,1198877.90305,2559682.88076,1191825.00781,12101541.99291,1077860.55064,1397202.5705199998,9706086.48151,2000638.83301,1349494.8864100005
2022-12-01,1262973.02466,25695166.58514,1313059.7910699998,2231935.9804799994,1465153.62637,10956202.35755,1068307.89278,1493648.18045,10723935.83352,2533924.97883,1142332.43288
2023-01-01,1513262.92291,25069955.81105,1285648.73187,2474269.0318,1124966.52236,12080595.844470002,942691.95062,1682552.71655,8146668.394409999,2701825.59193,986918.28431
2023-02-01,1965563.27619,26927620.22912,1483174.46301,2113731.2572700004,1378837.2456500002,16382285.448499998,1257259.6537700002,,8973755.8369,2310710.85218,1158119.46941
2023-03-01,1387970.58737,26041998.06562,1480989.87584,2610354.71377,1353112.58086,16810054.937400002,1134320.9491,,9495467.38953,2366716.38873,1293431.52459
2023-04-01,1237919.50284,24099711.214019995,1488739.02339,2118188.86286,1295841.51381,14552654.05557,1066432.82355,,7534896.58245,2239653.32733,1390708.7895999998
2023-05-01,1361166.61306,23090644.12363,1284103.20084,2262584.4206000003,1144240.85651,11375182.07509,1093337.35511,,8879055.74532,2478466.6023600004,1782958.47109
2023-06-01,1220934.80392,24420512.58716,1580375.10665,2350284.63163,1290229.97725,12637685.89504,1140637.40187,,9291292.91977,2232210.99781,1471526.02569
2023-07-01,1244044.42385,26739817.93754,1604455.92203,1968073.48621,1140396.1347899998,13559240.29045,1154873.08079,,8639425.2476,2445595.50224,1450122.0684999998
2023-08-01,1102874.06145,22194591.59164,1493514.2400999998,2200744.1378,1273889.39903,16494548.22963,1535228.72386,,7684209.613799999,2377520.80373,1179447.49774
2023-09-01,1359455.39517,23690611.92565,1434444.19072,2412061.3774900003,1114102.10693,12343429.05021,1238711.2788300002,,8020432.957189999,2423576.8544499995,902755.56982
2023-10-01,1523101.7899399998,22338101.67092,1387574.73763,1949162.39433,1506555.14293,11737524.34301,1158779.0498199998,,7381121.48605,2032032.29311,1066708.3267799998
2023-11-01,1370905.05235,23055447.15045,1294808.64447,2248344.41989,1628783.88678,13667648.66037,1213170.7701,,9324031.597289998,2082113.15278,917411.6033
2023-12-01,1378846.95069,24707922.54076,1660368.5560499998,2453546.5764399995,1316851.65336,14717540.54296,1159760.01851,,10009969.15462,2552981.898,917755.67874
2024-01-01,1150575.11046,25840711.51736,1325722.72902,2886362.6725,1375498.05279,12540682.830270002,831399.24509,,14342098.66902,2451907.2054600003,982364.31436
2024-02-01,1445808.35083,32115926.01901,2066372.46435,3632521.63648,1756309.0138,14015305.48316,1270257.40506,,13902362.80785,2616577.05144,1281796.82445
2024-03-01,1408790.63417,28749037.02686,1758318.16243,2429855.10667,1996998.63212,15804858.72558,1295139.22027,,9116482.84105,2611569.26176,1030268.71184
