,a-bank,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,ukrsibbank,universal bank
2020-05-01,331953.41793,5222144.441430001,658850.32954,1427929.94878,431200.10928,3563354.35123,713663.31666,642377.6039000001,1930091.05452,1385120.2762999998,948381.47177
2020-06-01,428589.23646,6560289.14375,813382.64782,1789371.46803,552652.65541,4428013.667330001,900152.54272,797211.61723,2347224.03725,1694527.28911,1174619.88352
2020-07-01,530280.67663,7817004.24488,977240.54439,2146690.55841,665117.77838,5792779.577760001,1063902.53667,957858.09883,2794811.47482,2028974.69474,1425021.28307
2020-08-01,622875.38951,9098963.43452,1136690.38088,2508287.78466,782863.30703,6776406.52998,1234755.3172499998,1163754.01762,3304824.34867,2332902.61913,1692543.5084600002
2020-09-01,719684.48113,10717263.94841,1292376.8940899998,2862676.87252,900237.2435900001,7643400.21473,1408790.8184,1337135.77814,3750153.7658,2630142.35452,1847335.31921
2020-10-01,840395.88347,12208966.186,1467015.80402,3244077.18503,1018819.05356,8693905.32323,1586880.27511,1542357.6866799998,4244456.51901,2946213.15076,2103511.95928
2020-11-01,942648.57486,13804627.24259,1636593.1553,3684735.34054,1140925.11144,9965316.66057,1768593.47653,1721405.2952899998,4735660.87055,3249791.73217,2384074.77478
2020-12-01,1046766.25715,15246577.23204,1795631.69658,4153620.52909,1270065.69408,11074689.66409,1958597.69548,1900344.67212,5259885.911409999,3595174.25185,2666823.42652
2021-01-01,1177473.81563,18597412.23891,1986437.09953,4758107.2242,1418931.57793,12776305.98689,2198667.5769,2111345.46051,5819944.59712,4041800.02159,3031179.05708
2021-02-01,80312.00262,1158649.52614,167665.63273,404481.22922,107266.78563,829661.1557400001,187255.73326,163805.64683,447083.97508,316845.32684,260976.29892
2021-03-01,286477.78517,2543364.84157,334122.78321,806566.40428,220908.79857,1850013.17862,381216.69821,318136.03347,951030.86266,623734.49196,558528.5309
2021-04-01,414490.12871,4107785.14272,500897.09551,1235201.0464,351341.90435,2867120.77754,583418.57169,476070.70283,1486182.45576,1062978.40376,890563.43181
2021-05-01,547666.7291,5718743.145520001,669876.86804,1697430.18868,475419.97331,3866764.04543,786488.3422000001,627764.78934,2013668.50835,1383094.25412,1286428.15232
2021-06-01,686028.6861299999,7312011.1659,836397.35778,2146236.335,598509.1899499999,4880127.20303,977222.11653,815984.9654399999,2528817.24002,1690479.80956,1692268.85175
2021-07-01,807531.76338,8829567.16957,1013993.37903,2605653.48287,762990.7424,6405690.7571,1171185.6075000002,959044.2737,2993643.26358,2139901.13618,2108918.16116
2021-08-01,931150.92797,10362581.16884,1181135.13947,3068073.6181900003,888940.26117,7369726.96943,1375406.6668999998,1097178.61911,3556225.06892,2472648.10834,2510698.41355
2021-09-01,1046671.82376,11742676.08653,1352148.5645400002,3515816.24836,1013112.2038,8252075.434640001,1576171.73577,1267264.06848,4129845.6396,2799890.2567700003,2964689.36706
2021-10-01,1042571.62782,13292245.64765,1544538.63054,3993621.47502,1147410.32719,9168211.447989998,1807249.14906,1425191.38197,4699547.94965,3149707.94923,3483684.68674
2021-11-01,1175962.49395,15009802.80845,1721953.36574,4537216.6735000005,1284295.4549200002,10161011.07204,2027840.63852,1580278.32969,5268333.30805,3464756.37374,3980112.63448
2021-12-01,1304791.44645,16725729.05859,1914032.82168,5042651.26549,1421811.0353,11153256.06151,2265577.17396,1797665.59084,5880846.81621,3796362.73735,4512511.7402
2022-01-01,1494516.71444,21569398.20565,2140498.41569,5856471.309339999,1592122.6191999998,12432280.980719998,2453591.03501,2017372.4903,6628010.65724,4455259.7753,5270547.74794
2022-02-01,122067.1995,1289728.2238,174161.37625,500427.97909,123001.20331,865595.98764,188874.64941,175821.7012,581406.47755,350130.60249,532919.14585
2022-03-01,272804.58953,3021568.65002,353376.9082,1018537.84155,245576.30786,1825756.26056,376368.33298,428775.08448,1176359.9367,682788.2381099999,1112435.55197
2022-04-01,427876.09946,4970589.22412,543152.63335,1617493.32522,367533.85219,4051699.75907,642740.60965,523295.0408,2059717.1221600005,1327206.65544,1621511.46513
2022-05-01,538251.2481,6870658.84028,716514.10934,1998982.30642,478892.7168,5090840.514950001,917832.37737,637220.26493,2604936.52987,1666482.46477,1952327.30849
2022-06-01,655240.51222,8318603.041680001,890347.79499,2384378.5581,596290.55425,6129255.369229999,1090819.00777,761093.19363,3150662.01207,2018744.72976,2236838.78171
2022-07-01,779160.6449,10520800.83358,1091077.41892,2734952.03564,717237.1634999999,7289136.85953,1267804.02587,894518.10197,3803485.84248,2421264.10992,2565833.66627
2022-08-01,927186.42343,11602852.77624,1260954.48897,3138945.35638,871262.25722,8833106.801690001,1457372.17199,1032111.60155,4363737.17187,2767883.90708,2958824.07501
2022-09-01,1062263.85871,13206753.15092,1431680.6649099998,3521656.9548500003,1010229.54481,9918068.36575,1675710.2176599998,1184056.78471,4938738.84371,3112383.73645,3309384.8667900003
2022-10-01,1182165.98827,15077453.17611,1617137.94734,3952377.79293,1140829.20908,11004746.56114,1893831.62792,1373305.99721,5643203.16967,3486136.40233,4214539.95749
2022-11-01,1300731.97522,17048434.34874,1791341.75135,4368865.28128,1267748.62394,12361811.51841,2102257.42431,1506704.2577300002,6260955.5499,3872064.8473,4867465.26032
2022-12-01,1421322.36609,19016882.76532,1957883.37978,4802564.139,1398178.52619,13471616.28235,2325026.4986900003,1656201.6017200002,6894986.5568200005,4326373.20217,5542653.64805
2023-01-01,1587368.86103,22233786.47069,2149960.4547200003,5412419.07015,1594003.52821,15366661.63693,2599986.42957,1866776.26369,7867316.93224,4999759.30354,6117421.4224
2023-02-01,119717.31513,1366921.09596,198489.65898,485202.46065,120697.86987,913808.18699,193423.83938,,651376.2643500001,463846.98339,752025.47572
2023-03-01,275807.05195,2968902.35381,387636.05165,967224.16417,238821.24176,2057610.36043,415463.53087,,1340435.13237,922595.15377,1615046.60161
2023-04-01,418975.50798,4969906.817989999,600546.44541,1468810.92935,383561.07144,3513217.39722,681428.50959,,2077925.57419,1495564.7316899998,2468114.54183
2023-05-01,582914.16021,7042535.03804,805473.76593,1983492.19541,522649.71071,4896561.55362,892853.4123099999,,2788882.0614400003,1967616.66779,3276589.5266000004
2023-06-01,787639.8122099999,8868843.08363,1011807.2323,2479856.23813,666143.88379,6066305.28092,1135328.0879199998,,3597073.16433,2405403.03692,4097166.76662
2023-07-01,962340.59215,11195781.76946,1232286.77246,3016930.9064200004,805873.81482,7272957.50541,1361011.98861,,4303743.965030001,2919028.83893,5116730.4509
2023-08-01,1134535.38572,13018842.88823,1462382.62299,3611179.71169,954569.25637,8474092.49131,1604531.14217,,5002050.88256,3401453.7689,5914941.40764
2023-09-01,1337822.38549,15005528.656730002,1682209.52273,4212782.896880001,1107130.02955,9664455.88834,1852112.15125,,5692268.53043,3828183.54727,6776501.90606
2023-10-01,1514869.10947,17126554.93726,1910328.88829,4799214.70135,1259028.87598,10929285.86,2106076.3876400003,,6589696.12325,4283710.66713,6580133.80494
2023-11-01,1738657.9164,18999258.43237,2140211.39617,5481407.13756,1436346.2824799998,12247223.71333,2490987.97607,,7397608.015910001,4754666.14961,7443022.42339
2023-12-01,1966763.26739,21010655.22835,2367726.27778,6171797.2227,1604579.14556,13614454.88435,2755177.97332,,8186281.14726,5256558.03426,8318562.290879999
2024-01-01,2344600.9503800003,24372509.59046,2628241.27529,7131174.300179999,1821686.90095,15334682.28752,3071525.65556,,9145103.69913,6174946.27776,9277873.16313
2024-02-01,195735.13176,1759845.3178899998,204803.66483,638006.56724,143554.47542,1376247.2075999998,223941.90575,,712703.50439,500911.10641,807683.11019
2024-03-01,411548.69501,3605829.49281,418118.8078,1269141.6879200002,307000.93491,2929687.60912,475794.53564,,1536331.47815,1001440.16535,1647111.07761
