,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
57,Ukrsibbank,07/2019,0.3000869027168367,-0.1193268527896265,-0.0089467169141586,-0.0001276050937078,0.0003057237073582,0.0025267404268583,0.0003742108718065,-0.0024036654035023,-0.0029790984159633,-0.0299011330473025,0.0193466993152256,0.0201808213525787,0,0,0,0,0,0,0,0,0,1,0
58,Credit_Agricole,07/2019,0.3000869027168367,-0.1193268527896265,0.0094598602617585,-0.0002384717607944,0.0001861009267877,0.0167407073984012,0.0001034876055098,-0.000392746720928,-0.0018269230227913,-0.0265334847628757,-0.0042784010570548,-0.0046698473916819,1,0,0,0,0,0,0,0,0,0,0
59,Universal,07/2019,0.3000869027168367,-0.1193268527896265,0.0094576774893814,-4.7301082578320944e-05,-0.0020123941890358,0.0317504855705905,0.0001311884359655,-0.0007950140040129,0.000411596214331,-0.0086551842484093,0.0045270437163821,0.0044413873626787,0,0,0,0,0,0,0,0,0,0,1
60,OTP,07/2019,0.3000869027168367,-0.1193268527896265,-0.0021469477261954,-0.0002251246277403,0.0001466317334267,-0.0026815377598992,-5.1984591023576145e-05,-0.0045970420795725,-0.0016300806310268,-0.0482926174626281,0.0158039143573253,0.0148753822137202,0,0,0,1,0,0,0,0,0,0,0
61,Raiffeisen,07/2019,0.3000869027168367,-0.1193268527896265,-0.0028837884298488,-0.0005055095656419,0.0014888452311597,0.00326289689088,0.0003343820416936,0.0001484724839844,0.0014193752943941,-0.0139522491502583,0.0201518955693422,-0.0028169237924338,0,0,0,0,0,0,0,1,0,0,0
62,Privat_Bank,07/2019,0.3000869027168367,-0.1193268527896265,0.0007105585052682,-0.0002230455655579,0.0002351177313239,0.0005260129902989,-8.336910405836936e-07,-0.0017303233112245,-0.0002875614994589,-0.0259406500859024,0.0363971710510991,-0.0012965139352054,0,0,0,0,0,0,1,0,0,0,0
63,Oschadbank,07/2019,0.3000869027168367,-0.1193268527896265,0.0163610150118065,-0.0002892315266701,0.0014487261469252,-0.0160059869505716,0.0002250312349304,0.0006046355486532,-0.0013060971869926,-0.0206341654769036,0.0200303293097864,-0.0615864282283382,0,0,0,0,1,0,0,0,0,0,0
64,Kredobank,07/2019,0.3000869027168367,-0.1193268527896265,0.0037116782439156,0.0002469524452951,0.0001640515953683,0.0122066252296404,0.0001527778032573,-2.681209575516874e-05,0.0034821812227555,0.0056205058033496,-0.0068153284960022,-0.0153151529700217,0,0,1,0,0,0,0,0,0,0,0
65,Sense,07/2019,0.3000869027168367,-0.1193268527896265,-0.0114793860384406,5.970210252364411e-05,0.0004871622974265,0.065268927868883,-0.0001272596638469,0.0048695121256012,0.0018574849754185,-0.00554614270086,0.003614031391773,0.0051836500401414,0,0,0,0,0,0,0,0,1,0,0
66,Pivdennyi,08/2019,0.5890894371297453,0.0283445138700315,-0.0063961031958996,-9.081521153866784e-05,0.002916611082233,-0.0079739795354968,-2.6383371997143207e-05,0.0016795355564037,-7.365280069336622e-05,-0.0001690925403879,0.0007578419692674,0.0003287753132852,0,0,0,0,0,1,0,0,0,0,0
67,FUIB,08/2019,0.5890894371297453,0.0283445138700315,0.0021712316990255,-0.0001394042807087,-4.039773650264464e-05,-0.0023128143442174,-0.0002019650177858,0.0001349134596587,0.0014722620567401,-0.0248263308266706,0.0037374015242743,-0.005403496995445,0,1,0,0,0,0,0,0,0,0,0
68,Ukrsibbank,08/2019,0.5890894371297453,0.0283445138700315,-0.0052368805426522,-0.0003757089642388,-3.030434043355991e-05,0.0076160073896614,-0.0001822124939202,-0.0017243142768417,0.0007837150497327,0.0046550780497079,-0.0256734457645166,-0.0002980332794599,0,0,0,0,0,0,0,0,0,1,0
69,Credit_Agricole,08/2019,0.5890894371297453,0.0283445138700315,0.0019335515965738,-0.0002801950872648,0.0004155571489506,-0.0086236223242467,0.0001631628027845,-0.0001014378104979,0.0010440637889249,-0.0041803083947845,-0.0048487773602889,-0.021942957756103,1,0,0,0,0,0,0,0,0,0,0
70,Universal,08/2019,0.5890894371297453,0.0283445138700315,0.0066779792053025,-5.940986136327396e-05,0.0028267021687536,-0.0236041938339988,-8.787059195764294e-07,-0.0015201997017566,-3.584730674932243e-05,-0.0156508769808477,-0.0072536018105744,0.0198744357796307,0,0,0,0,0,0,0,0,0,0,1
71,OTP,08/2019,0.5890894371297453,0.0283445138700315,0.007357918685502,-0.0001102388155634,-0.0003336062190109,-0.0013812117280994,-0.0001962692146096,-0.0004982437001117,7.194811359875763e-05,-0.017728070152045,-0.0129242109391024,-0.0183258540751971,0,0,0,1,0,0,0,0,0,0,0
72,Raiffeisen,08/2019,0.5890894371297453,0.0283445138700315,-0.0043836862551945,-0.0001413018339679,-0.0001395729924637,-0.0024979948353339,0.0001106599679644,-0.0002566593834407,0.0009171135940487,-0.0025305962238796,-0.0168888395525705,-0.0068649051953357,0,0,0,0,0,0,0,1,0,0,0
73,Privat_Bank,08/2019,0.5890894371297453,0.0283445138700315,0.001314375540521,0.0001258774574637,-6.763417126705827e-05,-0.0001661009937624,0.0001222203145548,0.0050544604668079,0.000906202468978,0.0183141983146355,-0.0220765595950323,-0.0263317316497548,0,0,0,0,0,0,1,0,0,0,0
74,Oschadbank,08/2019,0.5890894371297453,0.0283445138700315,-0.0011956265590107,0.0002288811716958,0.0002768976506257,0.0010335118302713,0.0003388845183312,3.0334439199419805e-07,-0.0022701622655289,-0.0232518095971328,-0.0060909125217596,-0.0953597323420893,0,0,0,0,1,0,0,0,0,0,0
75,Kredobank,08/2019,0.5890894371297453,0.0283445138700315,-0.0015351534706492,-0.0004350301906445,-0.0001433408330151,0.0024809351478609,-7.75129365184965e-06,0.0007707090683292,-0.0002985018058008,0.0058189994746093,-0.0148302973414746,0.0022007323509996,0,0,1,0,0,0,0,0,0,0,0
