date,cb privatbank,credit agricole bank,fuib,kredobank,oschadbank,otp bank,pivdennyi bank,raiffeisen bank,sense bank,ukrsibbank,universal bank
2022-11-01,30458852.46415,4105341.40122,8861998.93013,1764163.25553,11775654.96616,5377908.150049999,1811988.30477,10097005.29526,5957360.739990001,6674030.874220001,6632770.85697
2022-12-01,34997260.42135,4685699.04791,9678611.53853,1986673.34023,13274964.81755,6069972.91251,2050219.15907,11426362.19743,6425793.96995,7718018.10156,7508499.3499
2023-01-01,39917416.53672,5291899.34682,10154550.76234,2195977.06827,14884378.35615,6831617.22629,2291585.05199,12829718.96735,7052851.46074,8773165.62782,8486073.114740001
2023-02-01,4886070.54623,601048.25512,905415.80959,280979.61179,1677383.5323599998,758163.2919300001,236298.47578,1422794.76931,471448.8713,1018628.41191,960357.70806
2023-03-01,9116563.72799,1151076.1207299998,1672591.59194,472541.47231,3093980.42218,1363302.59226,422220.61098,2656160.04841,911307.88112,1944314.67518,1815593.9794
2023-04-01,13765607.68834,1772483.43989,2522296.3714,718438.74138,4645522.68755,2152025.3058,632393.76846,3976728.0732,1407623.28244,2878049.40527,2753498.53008
2023-05-01,18345853.39815,2389367.35353,3419771.11512,934260.74605,6098134.40603,2826299.57642,816312.21359,5196089.10068,1876561.0747,3809189.70811,3649091.96704
2023-06-01,23092179.32197,3018514.8586,4355506.33413,1193382.08577,7511882.874380001,3577346.44079,1043941.73681,6560454.29373,2265768.07266,4874183.27306,4571207.84125
2023-07-01,27858211.00157,3701410.76637,5402081.332,1453830.1752,8706569.440699998,4306635.95081,1298723.4381,7937906.32969,2517874.59115,5926677.59139,5517016.18898
2023-08-01,32878939.39118,4434843.77169,6564908.04178,1768154.84482,10401628.73228,5094254.53516,1572690.29551,9421662.26832,3001583.8516,7024314.07597,6535634.49084
2023-09-01,37979702.53635,5165384.54839,7704712.13675,2059607.89319,12106398.93594,5823181.04375,1845643.04932,10940914.24474,3465251.70306,8105719.28166,7588208.05441
2023-10-01,43176570.61999,5815180.61028,8829271.2282,2349680.32169,13799992.49432,6352626.1071,2095716.39588,12381771.94175,3844771.14069,9077765.91721,8624076.206109999
2023-11-01,48392705.38789,6501134.245829999,9986085.38029,2637848.07501,15287027.21297,7209755.74429,2321629.66695,13771324.55333,4439158.33753,9999139.76962,9706176.484420002
2023-12-01,53806229.82687,7182768.83355,11145299.17306,2930648.20828,16938960.74798,7907574.44361,2563495.71191,15188676.17806,4977237.69039,10968996.82048,10795596.37187
2024-01-01,59620968.63254,7888415.09224,12365483.97666,3234929.77963,18786030.063630003,8640708.09667,2812501.7618299997,16626413.79251,5539509.67037,11997079.38127,11995948.91675
2024-02-01,5603653.98963,747240.2972700001,1227690.6259100002,322841.11853000004,1743648.78826,738744.80333,269469.60709,1453306.95247,603170.4661999999,1012762.68975,1223034.40691
2024-03-01,10618993.15315,1472464.33757,2365278.60441,611994.9327,3433211.84198,1418679.17108,521432.52681,2850165.01655,1147816.48087,1979443.25312,2398039.30511
