,pivdennyi bank,fuib,ukrsibbank,credit agricole bank,universal bank,otp bank,raiffeisen bank,cb privatbank,oschadbank,kredobank,sense bank
2020/08/01,1427879.3478799998,4472359.14206,223319.71026,1381451.42055,100596.1212,2399774.05988,2584482.26854,222045273.64242,46473812.32084,501947.53506,6092088.68266
2020/09/01,1431894.37331,4457210.0818,178632.52166,1373350.73026,100892.6555,2248288.56878,2609726.64184,222022200.20192,46522581.85949,505057.47787,6062465.60814
2020/10/01,963405.96003,4431907.101989999,144380.93839,565364.27864,92627.1517,2263448.48177,2630825.41562,220814498.33053,36209122.86956,505758.63683,6173359.96325
2020/11/01,852131.39884,4079090.19425,115149.55117,404665.216,93231.62366,2733110.975,2605633.42519,195723962.65562,36245160.083,508728.16109,4433502.88772
2020/12/01,1110127.96526,4046577.34447,133234.09828,411663.503,94815.94708,2186538.60489,2022897.75815,174531013.27145,36398600.95186,475546.24767,4158675.49336
2021/02/01,1117483.6986,3028575.71983,188879.62321,383169.02792,93553.8151,1658627.63827,1021791.42508,168988920.40671,29692733.880620003,462514.76638,4118634.93786
2021/03/01,1157973.90037,3100942.49603,175031.90033,369671.70422,92637.73917,1630737.73164,890162.32677,168761785.03693998,29553639.23043,513376.50026,2039208.75146
2021/04/01,1133504.12526,2774439.45857,139451.39156,381157.99227,91868.86921,1625847.20016,895148.32462,166621670.24165,28938127.76651,526513.02144,1957313.51691
2021/05/01,1389799.82793,2729261.89661,694962.7576499999,644544.3561699999,88322.19612,1508909.21796,908595.56766,166700629.94297,28332265.80105,531487.68058,1951953.24522
2021/06/01,1123039.2867,2731982.41332,142021.49056,523353.81563,88114.00616,1467740.24544,867347.40723,166687845.71038002,27708148.00052,480300.4328,1942287.71088
2021/07/01,1105215.52327,2745303.4569900003,141740.6239,458566.70214,86393.72704,1420908.88319,846326.49184,166550588.54946002,26341711.23966,493090.74274,1920367.3741
2021/08/01,555976.42896,2753090.81955,143276.49297,434640.65861,85954.61661,1598784.55689,815792.15951,166521984.97367,26124369.46746,484569.94023,1926607.59332
2021/09/01,577988.44559,2726713.22916,138934.42857,427626.17239,85792.90387000001,1309112.23455,1018525.92413,166618047.56274,24056492.34988,449552.45632,1954239.60085
2021/10/01,568464.27483,2779195.85075,221490.6343,418592.63471,80808.0418,1118694.53497,806770.13782,165614748.10048002,13713500.39691,387335.24867,1503967.19991
2021/11/01,498693.39398,2735934.9209,251326.67461,402944.21302,80053.92946,1185680.9328,776547.06464,165384664.28005,13871858.68658,353895.80259,1465889.23983
2021/12/01,439461.43468,2824673.33833,255171.02769,396076.88244,85349.1406,1049440.72572,773329.36991,165859033.06304002,13932570.94027,329395.60435000004,1508621.00416
2022/01/01,431619.26116,2844009.11765,530129.17712,394351.41052,86206.19787,1127350.89303,750678.60299,165155621.90535998,12847245.01008,336262.93812,1522676.37107
2022/02/01,463110.78622,2910032.53644,499921.32603000005,440874.30891,118983.98721,1115486.17137,752031.91518,165839663.11314002,13015822.51734,428000.11861,1584490.91744
2022/03/01,895899.0016099999,2999862.49132,452630.94285,396387.90573,90366.10118,1124460.98234,713382.11782,166095068.34162998,13145491.41728,424573.12656,1527687.01249
2022/06/01,1287068.17234,4707116.20137,768932.1138,388117.92673,90554.57395,1321775.21613,1080139.76661,166916948.88,15111582.72719,881786.75293,3077252.37974
2022/07/01,1533570.61869,5583718.59909,1162827.97939,1276616.74967,90303.38454,2966532.76102,3103333.26401,166710251.94508,18381148.14453,978532.55494,3470441.98723
2022/08/01,1838700.02283,6479382.6476,1679723.64719,2057253.56889,110698.77765,3375652.51234,4119670.08092,169747228.10384,20154887.11476,1020644.67577,4685198.24558
2022/09/01,2027087.53805,6323446.45636,1490175.05937,2302192.62662,111007.15715,3473978.27419,4817203.08235,170000458.99709,21120520.2137,1073763.95073,4777801.1956400005
2022/10/01,2945634.36419,6224182.76636,899146.05475,2322743.2439,111166.8127,3571515.99669,6107533.88383,170357227.81028998,23912950.83298,1083854.31914,5931008.54537
2022/11/01,2584325.59437,6272775.18042,902624.10551,3148669.69191,110387.68041,3821802.51928,6943107.52473,170508050.91049,29206500.99137,1236053.23615,6167880.41532
