Bank,01.02.2019,01.03.2019,01.04.2019,01.05.2019,01.06.2019,01.07.2019,01.08.2019,01.09.2019,01.10.2019,01.11.2019,01.12.2019,01.01.2020,01.02.2020,01.03.2020,01.04.2020,01.05.2020,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023,01.09.2023,01.10.2023,01.11.2023,01.12.2023,01.01.2024,01.02.2024,01.03.2024
universal bank,1216728.85864,1228442.60417,1072693.76748,1087012.55178,1071432.06224,1058491.62546,992542.82909,1018075.82474,1081800.57381,1280678.3056299998,1227074.68577,1373838.52934,1401502.66878,1424014.7283899998,1608651.91677,1483464.76392,1493083.5981299998,1542874.96872,1677871.95476,1784211.59403,2322958.2862,2134958.0072500003,2649452.41029,2878051.36931,2984112.79493,2573418.93999,2620883.1040600003,3050021.95853,2759948.97726,2650677.09715,2144566.62413,2206042.71977,2179908.20945,2239880.04615,2401264.2675,2505470.34392,2621181.0964,2734008.0144100003,2987212.31378,3644404.40646,3607462.31486,3529744.8412200003,3567466.84157,3285078.855,3341933.85107,3371313.54023,3738897.71599,3435794.78204,3483685.73883,3333907.49464,3371129.50771,3382200.89848,3346161.26776,3627123.49278,3629530.08923,3784880.99203,3978409.21471,3890129.14021,3887112.66719
kb land capital,490482.4675000001,487501.07509,502323.75651,489550.48212,499981.29932,516653.78092,532078.3133599999,545587.3838399999,535368.5840800001,567872.75167,544706.96712,594135.6766499999,614409.46442,652551.8400099999,651018.6433,655743.24752,640539.66595,665707.18671,704499.71355,710900.7039600001,722452.06942,738548.6459400001,733665.16158,507948.43309,519382.63061000005,507778.13678,510842.78598,517578.7244,524136.46506,528221.0825199999,535708.41595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piraeus bank icb,1298807.20024,1332839.66565,1262010.74091,1230569.70752,1384311.85856,1494769.5277699998,1370292.33823,1334395.94132,1355142.29287,1342193.5046,1300030.31388,1398618.49164,1375268.99309,1404438.8129,1476509.11366,1373266.22786,1366538.05173,1367914.04226,1501724.28307,1598978.73871,1702253.37387,1715190.6771,1840219.19881,2026715.7757,2089970.57293,2062401.80342,2239568.03764,2430451.12734,2726141.35885,2589660.02119,2661353.19137,2712742.39532,2739483.46997,2922240.07548,2642129.87136,2667176.56312,2741290.54876,2526948.38411,2507272.10531,2587915.18044,2584597.44185,2576397.13139,2523471.68703,2486266.92751,2412873.87727,2381099.5645,2314724.1842,2276509.11147,2252605.23271,2220509.62926,2227605.60249,2143250.19325,2107958.20425,1939652.55891,1875871.90401,1947551.21988,1917629.24371,1936450.2104,1930427.2788
bank credit dnipro,6202829.34225,6072106.423420001,6054418.07194,5943364.6227400005,6026569.45056,5850309.937779999,5205267.6799,5185415.35262,4970315.72119,4810451.49516,4712347.45634,4502103.70571,4611456.18171,4480550.82398,4779178.76206,4775530.97039,4740071.5958,4672130.88114,4810369.42686,4810525.73538,5147779.33225,5353371.96175,5286765.8706,5127870.94396,5112656.32968,5226445.54515,5559203.63812,5828486.88891,5969198.02102,6084627.58564,6513693.57065,6886142.877,6822188.67078,6563345.4532,7087301.35044,6943573.31635,7501628.70643,6512672.27737,6339791.73051,7072151.69236,7096612.86088,6981615.56167,6841400.4072900005,6822396.296080001,3924130.13835,3856751.12392,4024707.42203,4141986.02441,4190767.15255,4418126.77111,4473847.69877,4708151.84397,4665709.04457,4607250.68262,4916705.76282,4557453.18638,4310613.17313,4658511.59124,4971413.23918
ukrgasbank,43466417.6818,42530152.56266001,41326956.48055,40419856.91809,40024305.49392,41878755.21663,41758298.78454,41661344.78163,41385112.20965,42068666.70549,39628392.76827,38344302.64194,37581250.93378,35910627.52451,38645495.65565,36718991.09603,36618919.26304,37441055.02186,38625123.28048,38944404.18084,41724965.25315,41491571.10042,42445383.30543,45039093.70407,44488237.8975,44105213.7025,44820372.13879,45652442.66042,44906988.504,43393646.61988,44934362.92838,46222259.90967,48745736.98761,48287404.24977,48778128.86406,50097423.28467,51728784.48163,59432284.46938,64078477.67564,72487273.78177,71222075.59927,69746096.20932,68263686.67754,68230424.21334,66808148.61248,65904106.18643,64453331.55627,64080812.84116,62562903.05792,61451377.93036,62478610.71265,63206079.81992,63637854.09555,62294528.51608,63119950.63986,65325957.22865,65872878.58183,65058900.0485,64791614.04216
radabank,917334.89031,962260.49014,1033367.48569,1080491.85097,1069300.21677,1057728.35649,1091423.4242800002,1090548.28188,1047672.79994,1093500.54779,1086782.08026,1006043.9695,1035124.83002,1015216.70077,1088114.33696,1035814.35861,1202567.18932,1242493.23897,1236772.23682,1249922.77801,1214946.84226,1126310.1836,1171567.41782,1360959.59725,1361062.39833,1379673.1898,1398536.18789,1422552.69857,1584930.4654700002,1535109.94184,1599596.8068,1568057.74084,1619463.42125,1711548.13566,1927968.54052,1914076.20294,1894147.40626,1827374.3966,1746849.21095,1748838.35162,1693596.20682,1669494.99179,1609464.7079,1573283.57759,1477075.4275,1377268.82228,1363686.85404,1328100.82121,1324375.88326,1272505.73864,1273230.08958,1409754.51258,1508976.15455,1519735.41256,1637240.74076,1726602.26905,1899539.99676,1943393.07048,1938597.75123
clearing house,950223.55549,939743.27652,959940.56486,1000398.7218,986071.42485,1030063.76618,1062921.41252,1028161.0245,1018581.51326,1067215.59685,1164265.80336,1085287.18565,1191224.37313,1180332.8475,1268394.07158,1286007.19904,1338508.5064,1275663.94259,1332488.72091,1443699.3781599998,1574697.99631,1641773.91941,1752273.56218,1487652.8898,1671755.309,1544699.63459,1781893.91184,1760438.52468,1764832.14874,1702757.71989,1778850.85086,1841610.11402,1895703.6127,1904882.86678,1746408.4879,1821068.28798,2016297.22495,1817979.06583,1845885.92159,1969397.75026,1916069.0504,1904879.83154,1700127.90024,1688508.27164,1586371.15437,1599796.49597,1463572.90485,1302650.35615,1289645.21133,1270428.78339,1284549.62667,1353631.0125,1470547.49002,1352543.28756,1441718.11259,1518163.40186,1688708.81566,1386472.3985199998,1514692.32427
bank alliance,1859928.488,2037582.49792,2091408.43953,2121137.45913,2176671.14216,2300221.59076,2263238.22637,2187802.36653,2076753.07376,2038142.07774,2185133.22787,2443096.68918,2475114.01136,2492530.44621,2670677.16965,2543171.59159,2784240.39628,2952485.68133,3057363.51485,3086259.83515,3102958.86145,3221767.72268,3290309.45078,3664154.25723,3706614.1354,3703669.23574,3936045.58517,4506865.53439,5158741.71414,5418784.18304,5623127.37196,6260531.84664,6489751.12467,6706721.427759999,4281988.18192,5431837.35035,5856936.86689,5744701.86219,5696604.98916,5682105.26019,5561057.302420001,5270675.67606,5131326.298400001,4945052.71519,5385901.28389,5318262.14735,5170039.14362,4871118.98517,5021458.95004,5069935.93972,4725471.234259999,4753041.065330001,4689842.95864,4695563.6089200005,4639550.52406,4733679.78688,4653853.792090001,4640317.1057,4967026.7642
first investment bank,693437.30368,689163.72457,675787.24469,593140.4563600001,525315.5636400001,521702.15922,568475.86132,569335.14062,505012.18402,554472.0028499999,532164.1323,468805.62586,520951.59662,519621.67281,470542.06379,550680.6055,559876.18031,454217.3787,504420.69554,638777.09878,522530.99608,644171.87955,618892.48037,576912.53009,676118.41109,569969.82047,590877.0033,591890.12344,488083.21651,603775.35228,596450.29558,419480.38954,358930.44958,357089.99579,257138.66982,267623.85581,346895.00612000003,349510.05606000003,346352.13319,278984.97777,249546.74521,237747.77728,214891.37081,199486.70553,175103.10678,165738.8133,127440.99641,124462.8081,122536.69385,120514.07988,117039.5729,115960.57064,116959.13154,114944.63735,110113.59596,49183.28211,25902.6131,25460.93194,18079.06583
ing bank ukraine,7991267.35275,7844764.60488,7911696.04954,7962270.891220001,7687187.982259999,7135907.39567,7021085.15922,7104589.20544,6618789.3804,8410446.45074,9035083.31082,8297682.475260001,8162349.75163,8050317.42559,6930482.86805,7148022.6313000005,7432644.50401,6755453.7499400005,6685867.72846,7623487.6667,7133824.78504,6957509.87203,7123172.53624,7354028.61969,7537421.51382,6360656.4909500005,6620965.61945,6320893.00061,5230529.311410001,5766288.213339999,6881878.96659,5696433.97602,5412626.25101,6978633.62924,6822272.58606,5997620.34658,7357419.23671,7027575.92056,7138956.76498,7810138.66758,8129876.42916,6948689.15709,7870563.05207,7378250.589149999,7857109.33386,7703262.46842,8532963.87603,7972581.47871,7438551.06599,7994211.83038,7723878.30856,7476357.33358,7046241.75642,7267418.84023,7139944.30853,6933598.94307,6423105.25062,6993165.32161,7572575.77226
