Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
bank vostok,354440.27398,348385.65274,353016.62363000005,319108.4962,325135.69644,321049.81602,318757.97416000004,321159.70051000005,277290.4972,272045.48403,273923.10167,191672.40242,210927.86448,185506.49125,126024.28219,125108.94986,124768.84353,126596.74737,127273.29421,127962.89626,174920.29949,163902.84588,164789.05498,158066.04658,158803.40983,160313.08427,228693.60858,156523.67271,160687.84554,158263.16396,156731.12042999998,157312.07682000002,152435.06954,151516.2696,149465.48053,150208.1304,272468.91976,205015.88793,573823.79267,664648.64664,640353.26482,1343611.04988,1358890.1756,1193819.78126,1152917.5143,1150097.41961,941568.22067,933620.59046,929893.66811,957143.5503,929295.80438,882023.8051400001,853222.32349,923206.90263,973205.24978,929416.17021,942327.04482,939170.98404,935533.37265
bank trust-capital,20461.68194,28588.92938,28639.327370000003,28191.6949,28330.94596,27952.82247,18261.5593,18334.89899,17629.300750000002,18002.98688,17402.19672,15055.75982,15575.232349999998,10348.58946,11823.49835,11364.19306,11336.59513,11246.55427,11667.51742,11576.76027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.91258,1392.23709,1409.62552,1377.46206,1394.75065,1216.69922,1075.80712,1073.93973,1088.34411,1102.74849,1115.7589,1130.16328,1144.10301,1158.50739,1172.44712,1186.8515,1201.25588,1215.19561,1229.59999,1243.53972,1257.9441,1272.30913,2754.82944
ukrainian bank for reconstruction and development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0
kb financial initiative,11243882.07,11137746.62036,11432256.46143,11645241.4375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank for investments and savings,736704.34357,710704.31545,599224.39035,627639.16189,644318.7191,630317.9123900001,593130.29317,504341.39472,477518.68781,475885.14519,438682.14793,446607.32677,454248.29364,434102.75043,450699.95042,443188.66127,716831.8315,737641.70163,757597.99963,767910.36324,639276.91632,561215.05926,477046.61347,454336.99307,497579.48074,712321.42346,707455.30589,704595.5098400001,683064.43368,639760.6851,638468.96952,631536.51547,629680.28176,459428.23718,432811.65544,409188.08268,372453.71889,373885.27801,558845.08973,617218.78633,593179.96784,602865.9261,602423.65623,603594.46635,576964.312,574155.28463,571232.33658,681315.91278,660033.53509,655731.0242,587574.64833,573792.48836,563913.38058,533273.2039099999,526032.26786,541832.2087900001,525591.44334,519057.087,511960.10069
bank forward,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,7355.47965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46418.89686,42056.59384,39971.61571,37994.66358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
cb accordbank,59677.99329,59184.98168,44682.58745,73762.10192,77725.03235,76284.41912,77076.23138,79701.70134999999,83996.2462,87216.09161999999,83966.42701,86816.71565,87802.46778,100875.18802,108776.45797,137026.73427000002,144304.96917,141970.94417,143351.82142999998,168407.52593,166942.37157000002,169424.52964,168397.7115,143011.05262,150467.19516,135985.97236,136698.96603,146984.80651,148337.17316,158494.08138000002,186103.52628,177081.70449,183666.25327,174623.06941,173254.15371,168089.50598999998,174745.76185,240252.06766,240404.47782000003,244686.13052,246025.71476,244607.69926,245361.10941,254993.62631,254726.7513,255914.29706,256614.72116,258273.396,253376.4504,236104.42269,234973.20042,,,,,,,,
credit europe bank,576102.65998,562283.25636,560437.0204,451798.68702,453846.5224500001,436629.88857,183302.86952,182019.77006,177496.84062,171512.71918999997,167432.33341999998,166127.81256,159696.85427,155049.36218,168202.91905,155341.89974,155833.74617,155442.24141000002,150405.6823,146090.70851,150034.10341,140076.37019000002,136684.37696999998,127380.09421,126637.41822,122643.08674,98120.27506,97375.93215,44956.92532,44571.15344,44480.83512,44003.63787,43619.87869,44888.24109,45008.54015,47398.91702,48123.59715,175015.59295000002,307838.4971,337476.54773999995,328291.97988,321723.74844,303577.81053,300659.55042000004,239476.44277,232828.30426,165137.27722,159968.97186000002,154064.98084,148650.88757999998,141627.37986,135721.07246999998,131256.24147,112945.9047,107963.42292,105281.85083,102191.05457,98894.47532,96982.44136
creditwest bank,123960.92459,122557.70787,130300.95173,130303.98005,124536.96808,124583.71524,121912.00651,121961.27491,120531.92971,121046.67429,120477.84352,168825.66667,182624.03748,219880.03188,240375.72888,235189.25625,249483.31128,159828.45532,126542.78749,127240.87073,126357.39153,127589.75231,109931.45627,102778.21198,102600.35271,107809.45719,107844.59417,107690.92556,107624.55548,106771.82648,106603.629,77194.36669,76517.80665,77237.62668,68368.49111999999,68126.2068,68306.27875,63334.85647,63008.5902,83617.75232,84254.73517,86953.90841,76277.29019,76201.8604,74689.1965,73661.40812,71609.21452,70625.18796,104197.1877,102972.31806,95681.76266,60630.24414,130367.25422,218760.66688,259603.75464,255978.34745000003,253509.08498,240338.24576,272581.11361
raiffeisen bank,3044971.8444000003,3086931.58421,3107678.13685,3083551.99274,3095717.48975,2891557.8283299995,2837942.1497500003,2800877.67038,2965258.25463,3132005.70786,3122200.3460500003,2966005.7066,2572638.44248,2573476.74004,2606925.27818,2562879.32807,2567258.11872,2539133.65449,2584482.26854,2609726.64184,2630825.41562,2605633.42519,2022897.75815,1021791.42508,890162.32677,895148.32462,908595.56766,867347.40723,846326.49184,815792.15951,1018525.92413,806770.13782,776547.06464,773329.36991,750678.60299,752031.91518,713382.11782,1080139.76661,3103333.26401,4119670.08092,4817203.08235,6107533.88383,6943107.52473,7097445.760709999,8813662.66665,8861533.0229,8817517.34564,8773167.59103,8710224.52017,8580488.48115,8534732.51277,8614557.6479,8560658.756509999,8420888.979629999,8304547.41566,8431642.81008,9298422.83173,9363268.89547,9206586.30985
