,Bank,Date,INF,PR,CDR,CR,LAS,NIA,NIM,OE,RA,ROA,SCTA,SIZE,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Sense,is_Ukrsibbank,is_Universal
44,Privat_Bank,06/2019,0.0094696969696969,-0.0092939814814814,0.0246935883154956,-0.096589051603913,-0.0212384425646759,-0.2895070358732051,0.0401561493323019,0.0729454655294004,0.0160041059391977,0.230918864487783,0.1535684386109869,-0.0001058648724047,0,0,0,0,0,0,1,0,0,0
45,Credit_Agricole,06/2019,0.0094696969696969,-0.0092939814814814,-0.0081209724272659,-0.0756445587103579,0.0542963433579923,2.102808009028665,-0.0333373635226729,0.0192882361828021,-0.0359982362219598,-0.0187147102184532,0.0720131360569668,0.001118609040256,1,0,0,0,0,0,0,0,0,0
46,FUIB,06/2019,0.0094696969696969,-0.0092939814814814,0.0177815356793131,-0.0241648894236503,-0.0835357109857373,-0.1854542571453257,-0.0126800503761088,0.0248055289153002,0.0203390955482389,-0.0149770545758269,0.0276285137125496,0.0008270294523979,0,1,0,0,0,0,0,0,0,0
47,Kredobank,06/2019,0.0094696969696969,-0.0092939814814814,-0.002084174010406,-0.0624175667423773,-0.0349973150349858,0.4619095326323939,0.0180295281502,0.0114010691620841,-0.001062403259503,-0.001227232024719,0.0122068538179589,0.0017250770511055,0,0,1,0,0,0,0,0,0,0
48,Oschadbank,06/2019,0.0094696969696969,-0.0092939814814814,-0.0044057941484103,0.0144692807794823,-0.0163531665900802,-0.0480108419654538,-0.3047763417048867,-0.2310426484500932,0.00022616266732,1.1908384299437882,0.0143426313411293,-0.0002517113567994,0,0,0,0,1,0,0,0,0,0
49,OTP,06/2019,0.0094696969696969,-0.0092939814814814,0.0091666233199507,-0.0781452511127251,-0.0496524034024762,-0.2997325133529677,-0.0216683000410554,0.0164480825709344,0.0237710763476578,-0.0075159312211463,0.0348507259567288,0.0011358658590687,0,0,0,1,0,0,0,0,0,0
50,Pivdennyi,06/2019,0.0094696969696969,-0.0092939814814814,0.014659220783588,-0.0306693607746341,-0.1320296591195486,0.3738811102912169,-0.0703572208749896,0.0750729443823493,0.0207460811382557,-0.0229446925870474,-0.010776400257332,-0.0006536619599568,0,0,0,0,0,1,0,0,0,0
51,Raiffeisen,06/2019,0.0094696969696969,-0.0092939814814814,-0.0098100132684421,-0.002975673041012,-0.1568726701604804,-0.0799709245121142,-0.0018529665614057,-0.0488140139914246,-0.073985848781297,-0.0059322672231817,0.1762862163418268,0.0014705626225527,0,0,0,0,0,0,0,0,0,0
52,Sense,06/2019,0.0094696969696969,-0.0092939814814814,0.0215962939357314,-0.0119524723820957,-0.1451491840758757,0.5463487428510452,0.0034678826080004,-0.0840684173994521,0.0237353855657216,0.0436497112204128,-0.0556821573463401,0.0003695899354284,0,0,0,0,0,0,0,1,0,0
53,Ukrsibbank,06/2019,0.0094696969696969,-0.0092939814814814,-0.0368582341602601,0.1522128081631445,0.1384611366465938,-0.0611985792759475,0.0037696956412609,0.0383266690513853,-0.06528738147791,0.0144229324083341,-0.0983857120945012,0.0004430163909319,0,0,0,0,0,0,0,0,1,0
