Bank,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
bank avangard,322213.44023,325516.62273,327174.61665,325536.71271,356217.98268,355034.19506,328548.8409,327915.60542,330699.89625,332057.45818,332638.14431999996,330696.08242,333164.05624,330620.81747,336562.52958,329655.28766,328077.01285,334899.7162,330758.15348,341253.79465999996,340800.93945,241542.54361,242198.56728,243280.13132000001,244238.35736000002,231495.77485000002,233866.15044000003,236949.02766000002,234306.21482999998,227661.91391,235687.33806,235828.58687,236181.41241000002,237213.7654,238542.38702999998,240660.3125,239748.16959,239292.81996,242404.19395999998,241479.37099,217855.04407,219403.61019,222626.04215,218964.53806,243839.32985,240136.32295,242427.8774,242332.70709,242656.71349,439722.60378,433895.74315,382025.92587,382231.25119000004,382801.05581,383084.9117,394002.1147,419892.72612,450250.91689,497992.96442000003,505512.97038,343638.28793,349993.64882999996,353888.17359
bank credit dnipro,1045953.62215,864716.66134,860468.80208,937389.44634,980733.5423,952016.8523,1073766.40059,1084566.68038,1079812.69356,1059475.41561,1183071.4331500002,1198262.4695899999,1180531.33617,1336616.7290400001,1230749.88468,976512.06696,950536.1257,934641.3538299999,1032064.07,996093.18509,1005301.4933399999,1200963.92799,1215602.82332,1206884.92789,1247315.4373899999,1476268.7534100001,1414710.3519100002,1434265.49274,1624751.56475,1615773.35946,1914205.20853,1992859.8882199998,2001538.6218599998,1960266.58146,1949115.44656,1894369.63425,1792837.81253,1792961.41493,1805108.34314,1799809.2451099998,1787134.35757,1837611.13044,2130780.39601,1909292.62148,1805512.7288799998,1786930.15643,1754020.1771500001,1730556.12439,1685446.80756,1747387.80137,1867415.8775000002,1914123.0993,1932143.83521,1981065.4022300001,2096857.48474,2053213.20921,2102827.98916,2111369.87931,2127070.36143,2194957.47079,2107203.78883,2098993.5068599996,2135493.48203
bank familny,185784.11075,189813.04896,190884.99259,191505.09567,192720.9658,195279.47208,197315.67085,196488.76608,198863.22770000002,201209.82229,202959.29516,204116.97392,199288.09269999998,202178.5602,203590.66985,199679.76159,201455.42913,201514.31674,200512.60172,201917.49548,204693.73095,200678.71607,199489.68943,197900.89608,201411.28034,202445.63293,202421.78712,205178.81809,207692.83812,211128.75029,210369.10839,210232.46438999998,213345.83524000001,212937.14984,211738.12198,214371.63414,215337.67753999998,221133.185,235827.48148,217481.67932999998,225704.4909,231911.56398,221780.59536,224593.45884,233902.8446,225855.42293,237088.26604999998,238960.9456,230036.76378,251212.6686,230236.18569,238073.74432,251204.23682,269154.41563,256718.12156,262359.1865,266476.37525,266306.32012,275754.79066,281554.56108,291776.13987,295019.06065,297015.28899
bank for investments and savings,543807.64603,544853.30996,544906.71843,545147.75633,545370.62722,547535.37535,541409.65825,546536.46488,548696.2202900001,550844.79648,556586.1356299999,558060.0991100001,561014.84427,563929.66452,565535.05519,565184.70577,573149.7277800001,597679.11955,586827.73442,584928.54756,594950.2518399999,593977.59398,595430.19183,593866.49839,597309.12092,601937.12487,605237.97747,603727.21545,603077.08174,605401.69225,610617.29231,618109.17677,633309.08369,624499.9092199999,632467.9425499999,641749.63076,649450.69687,657790.24228,670637.2718600001,677794.94432,681251.73748,672537.65651,666198.2006,603562.45649,604195.73569,631153.3567400001,633364.02888,638858.68952,641761.85918,652041.5621,661106.31634,656899.97635,673989.81541,674743.86054,685432.2568600001,699520.11894,720025.60346,734280.38537,741302.42814,722040.85877,715930.99992,730274.07557,738960.88416
bank grant,550065.67492,554621.6673,557686.30336,563638.98143,567268.42583,537937.7692,541641.42434,546066.79929,551161.3352099999,556678.3116799999,562660.50664,566186.5602399999,581127.9612199999,587105.47049,592149.5128599999,596821.32296,602077.67383,588873.4870099999,591818.6442999999,595256.02898,595202.33768,599154.38366,600855.637,602601.97277,605949.67715,609733.7473500001,613489.2520900001,617457.94091,620899.2401299999,619748.47548,582248.73344,585130.23548,588779.20821,591633.96051,595067.7440099999,602109.02715,603477.3023999999,606496.24028,609592.37486,609756.97219,609977.65004,601230.8173,585549.86146,557986.56436,566562.8413900001,573536.42387,581119.6144000001,671292.6754899999,575818.66634,585980.79812,592921.76008,604607.72834,613425.59225,625860.4334399999,638884.21132,651986.59623,667139.51286,657759.3928899999,685791.70835,688947.29849,609324.83201,618139.86348,607691.9765699999
bank portal,210292.83873,210989.2317,211179.32828,211248.34925,212501.86962,212312.32916,214419.8451,215398.00499,215219.34498,214865.82621,215470.76487,215468.05691,217235.06265,217821.55995,217580.27061,217616.93209000002,217378.77315,217909.10893,218238.98275999998,218423.79739,218289.89666,218540.34973000002,219057.49517,219430.82298,219163.66777,218698.87288,219410.32551,220042.0017,220089.19228,219614.43082,219791.20674999998,220175.07878,219925.79645999998,219697.15621000002,220527.56823,220220.69593000002,220106.58203,222626.20225,224687.38311999998,224780.56561,221070.06733,219927.63862,220259.11138000002,224734.0619,220204.77007,223643.13665,225405.08057,226092.31201,226354.81853,228433.00303999998,227951.77716,227098.56073,228477.74533,226857.67189,222048.31282999998,222069.22914,220714.58311,227141.63511,226923.65249,226926.36078000002,225696.71022,224903.91113000002,224263.37547
bank trust-capital,,,,,,,,240611.0109,240941.05637,239853.11643,243802.84951,242484.23882,243490.51584,238502.69166,238380.58791,242108.54247000001,236410.7808,239956.96602999998,238183.25877000001,241087.22183,240801.11421,238000.09087,237286.384,240654.55375,244894.28563,245017.39893999998,244318.41908000002,245024.62857,244388.89201,243551.88375,241958.90849,242598.48875,242008.99808,242362.26181999999,241694.09361,244867.40133,245192.22424,246190.06614,245854.10496,244171.84302,243594.12633,243805.2374,245289.01066,245735.2875,245902.29837,246219.39853,247462.25372,249217.54105,254243.05267,255487.70519,255293.15796,258032.59792,257514.77093,258601.93730999998,257962.65879999998,259078.91461999997,257886.07444000003,258028.90859,257872.21095,257606.22159000003,254490.16144999999,254529.5595,254134.04799
bank ukrainian capital,,,,,,,,250061.82407,250405.44634,257430.39618,257529.86891000002,245553.46981,279990.71001,277267.50031,278864.04406000004,280195.60696,275904.00133,276015.53663,276118.86796,276682.68097,277015.36224,277414.89321,250276.87212,249374.72331,247438.34252,251143.54006,250613.12679,248358.02006,248377.33022,248483.54129,248533.89674999999,247697.92908,247713.96704,248286.15657,248405.39925,247677.42818,250872.93288,251591.40106,256659.80132,254721.51489999998,255887.78875,256981.77714000002,254460.62926,252477.06607,244939.31746999998,243814.85305,239905.93987,232316.23354000002,232165.79055,226606.06458,221022.55814,234700.35652,234876.72467999998,235007.15626,233353.64074,233037.97551,230756.50622,236069.95371,249679.03306,253246.19081,261205.23043999998,282892.83772,266790.85807
bank vostok,710410.02647,717837.99879,727160.47912,733766.21499,742869.64121,751404.78718,760117.85886,779810.80998,812180.90925,832966.3726799999,836641.30457,844522.6875700001,885666.14396,901976.25315,922127.64081,920767.09028,925391.2683400001,943009.8947899999,952833.10256,963085.7352,966396.3068499999,961830.88809,969973.39922,988754.36198,1031777.00822,1033162.9049099999,1057459.84459,1068754.97266,1064821.9767200002,1092260.0411200002,1109819.51088,1168698.92271,1206325.76804,1208203.05399,1240533.75244,1254669.9765,1318398.5720799998,1344258.92101,1364847.11167,1356274.57853,1334998.10845,1347250.16447,1371606.70899,1379258.1769599998,1361740.32002,1358129.8662100001,1357017.98413,1408400.39228,1488802.05868,1582743.31008,1659963.75997,1666387.00933,1688879.48043,1726583.82305,1786797.88804,1858612.29566,1896804.91097,1883512.67816,1952449.4182799999,1985230.5785200002,1996584.73422,1897615.2202599999,1934877.7119500001
bta bank,349272.922,390608.12885,390424.27878,353343.86475,353330.59758,354891.39702,359959.43949,358100.97342,358090.28467,360134.68717,364400.89972,357356.55914,358290.20981000003,364842.03857,353853.10423,327790.84855,318354.30481999996,319190.46238,314488.66426,289342.89078,285604.14936,281389.47997000004,274775.286,269646.28226999997,255883.00100999998,252157.75066,248311.4683,245118.38522,236878.82293999998,234028.90721,235806.70971999998,233826.32298,231012.37771,231370.10688,226560.05555,224270.82337,223186.8882,220248.39596999998,217235.11749,209814.52756,204025.8997,202260.37333,207908.54656,210016.23455,207803.67794,215817.1062,214971.77651000003,212878.30325,213261.80455,226134.45108,222630.82847,220444.90899,216761.44845999999,213954.37228,209117.52249,213528.02702,216873.44194,216502.03657,212489.40042999998,216314.71209,195301.30333,231176.03121,227977.73179999998
cb accordbank,248513.0554,249414.33686,250344.529,244105.69566,247825.07011,251461.62808,252350.71351,255439.45607,259289.58572,262025.98159,263066.23758,266985.10696,270811.69922999997,275172.29017,277002.48939,312910.97001000005,313653.03968,313728.83007,308904.84369,317923.68140999996,318081.55384999997,314059.39908,314757.98411,314769.69567,317533.23565,319555.97306,319140.38837,320664.18593,321921.09961,322085.33624,323006.61591,356250.33187999995,356307.42942,344425.86514,345536.85876,371041.54697,387514.20602000004,428277.24434,399838.65988999995,388229.48825,387490.05445,391402.20883,391316.85115,391646.68308,391730.74105,391773.25185,392597.79789,392664.38933000003,381209.93843000004,402661.69474999997,400460.56216,403720.15442,411288.42096,411500.66614999995,425332.19072,453530.05772,456365.09339999995,503384.93082,567095.6854,565452.52079,463243.7802,550494.3147,590208.24321
cb globus,323672.31994,341628.2471,347038.63037,344659.92281,324427.52416,329078.73855,322473.00984,337256.04074,333207.86269000004,333804.1812,338105.85285,338763.82461999997,325496.49324,354356.76094,348445.17878,349000.151,377410.2109,372200.16875,377081.53001,386230.55051,429458.46938,444736.43378,425729.13746,497351.52858,488186.56277,515755.8037,523607.9905,507021.34833999997,515229.90004,516624.29289,517707.02912,552812.67839,559516.27947,576431.37195,589671.5869,613632.46407,629280.24648,640132.68923,632317.71168,623704.28467,634594.6655799999,663984.18415,630328.9964599999,613550.48616,526589.3043,563434.67611,569915.35809,572338.8839499999,647340.9094700001,672569.9813999999,724685.82776,655448.07013,711373.51963,736676.79988,680971.28671,707832.59884,756713.76827,768088.99696,794715.9805500001,745629.33504,719399.09614,778773.6925,750969.7533900001
cb privatbank,31462233.3963,35195957.52935,37768697.85502,38837847.12435,29796664.36895,32860638.89941,37904900.38746,40772094.58806,45480521.3953,47195457.54843,47985727.10059,52631221.93489,54528931.44489,58599803.6005,64706236.85727999,60484406.06422,68145658.43602,48401318.55038,43016367.62058,44434871.61566,47240401.855969995,49882368.82897,51925167.04306,53254949.57831,52823920.96695,55021993.6456,53693953.408300005,54197456.64798,38537428.71885,40792989.69045,43731439.39273,48375471.94314,50327534.78712,53318973.19423,55664015.02277,58377898.120400004,66614524.99917,67192252.81266,69828749.74488,41155938.95198,38092215.64494,42800608.12716,71463071.22568001,76281171.59162,79512500.5423,52923330.507530004,57419558.273219995,56404044.853,57788818.96773,63234899.01346,65048626.08497,74351457.69421,54783206.99476001,62032657.65224,69519230.13796999,74404892.7853,79574310.34853,83111300.27265,87785115.74313,96776085.68689,83294248.8541,89324833.30672,92394970.48499
citibank,2297694.32007,2498848.9462,2625103.59081,2804463.76516,1631376.21606,1823192.3757,2007769.44472,2218186.21406,2412629.96313,2618636.32539,2829018.43964,3007856.54357,3251855.4696400003,3496901.97089,3620946.72771,3500745.368,3765400.2105099997,4005991.18203,4029138.16822,4075575.6478,2115098.02923,2234922.42256,2342924.375,2425937.59981,2481533.1168799996,2643135.3985599997,2767134.33046,2870789.8333500004,2963742.58836,1759052.76062,1889109.4710100002,2035795.8002600002,2205877.6099,2368258.0661799996,2530785.6412,2687910.23251,2879491.03182,2986554.59151,3157617.41095,2970311.9599699997,2991440.35859,3175185.97809,3315584.6513199997,3680145.80913,4062941.98881,4378687.24816,4766396.7817,5235204.84838,5567324.69103,6216237.83105,6555250.32833,6993665.79622,7536121.9877,7937814.83698,8412934.33287,8920468.17248,9473764.32953,10082503.57707,10778716.86323,11287579.32793,9374939.373639999,9818132.86191,10298363.17108
clearing house,525614.22069,520981.56151,537093.1331,553208.18239,555002.89024,563080.50136,540099.29702,549577.97096,548126.74289,556198.05596,560028.2062799999,553648.1869199999,561131.1451399999,540147.01412,538463.75474,558804.3383200001,561434.10968,566957.79048,570418.1986700001,569670.29837,571534.9159700001,578950.56756,584818.9807,606116.67638,620247.84038,673942.29825,667119.1777100001,659447.7108900001,664620.14475,674296.00823,655198.0579700001,674305.0932700001,693466.8739700001,691873.0374100001,718687.5294799999,735020.00698,740518.49701,743391.7689,762581.2646000001,766289.4866399999,780241.2277800001,798313.6855,813746.03295,817086.07591,756942.71494,784923.5447900001,810186.9961999999,835657.28178,810668.86139,844811.46771,881367.81035,1007853.37911,1036265.18263,1065747.14926,1076779.89346,1102385.56232,1127896.43085,1136768.6399700001,1181406.85211,1078054.16192,953017.01363,1071429.14677,1054776.45367
cominvestbank,325042.18561,325472.47901,325712.56683,325325.71957,325221.70484,308239.29485,305484.2665,305615.78659,302321.19152,302946.28293,298558.83968000003,299750.43495,310357.47096,310584.85051,310635.52112999995,310645.75961,310661.18444,310662.71683000005,310671.56996,310713.40538999997,310728.2942,310742.22397,310777.86764,310826.95148,311029.83642999997,311153.80633,311259.27705,311336.30766,311443.96997000003,311533.06512,371647.28925,371750.61273,311827.43175,311984.25401,319198.24720000004,320152.81257,329856.78537,330267.43529,330404.02576999995,330275.59256,330272.46677,332924.96819000004,340922.36107000004,334863.47083999997,347427.7635,350196.59616,346759.91546,343673.87562,345247.70429,346586.7718,350447.15397,351436.02229,346831.59726999997,346860.54059000005,346917.62132000003,346950.59032,347117.36602,347231.63283,345950.95384000003,347815.72078,358877.23793,361409.16800999996,345384.56999
credit agricole bank,4201247.36672,4341989.30568,4477283.85554,4655692.83802,4759815.79915,4066444.02018,4209213.19713,4429547.92992,4609421.98537,4741005.40239,4918843.61961,5090160.93715,5155865.60017,5348054.3516999995,5439281.5622,5471819.80217,5536355.81472,5669428.054300001,5565527.94997,5653904.54194,5766190.58357,5841671.6968,5974334.05355,6049488.0566,6100741.22807,6189516.25748,5312169.69387,5473307.64043,5610359.03655,5701763.92793,5821211.46827,5963171.297900001,6095264.50736,6204397.96253,6380696.46722,6498729.41329,6698501.17907,6262428.156400001,6329582.94283,6135730.38636,6147289.31803,6179480.965290001,6148116.98034,6155382.28232,6146441.49681,6062463.626730001,6053000.558200001,6107481.78353,6082460.26524,6124135.60048,6178646.95507,6231972.28969,6452881.68571,6769929.171519999,7121028.59543,7665674.81941,8332567.1906200005,8468272.30773,9081215.06567,9687529.26654,8981278.47821,9827333.31511,10540905.57428
credit europe bank,336241.99491,347733.71986,346729.82448,344057.42649,364940.16712,356765.53845,361430.06426,378341.27941,383176.11747,388892.48612,395893.20930999995,402456.35764999996,395034.22225000005,401731.8011,406500.30146,404690.30031,411259.3409,416723.6672,419190.34089,415422.53447,416751.58591,415975.73761,419491.32725,420572.98867999995,420250.71661999996,424770.56314,427268.94574,432891.11401,435147.80354,407699.21354,409523.91903,404323.27366,408579.12788,415124.37474,420676.83955000003,423727.21865,430862.84413,432532.36937000003,421461.36529,324839.13885,333864.50155,335760.25693000003,346992.22957,332475.58930000005,331147.1215,335548.25631,339962.54363000003,343629.27737,342853.99532000005,359856.04399,374489.03539000003,387273.69983,399542.2987,406402.56819,417282.53942,428758.2504,442679.80864999996,451995.81064,469254.93329,456011.22086999996,436765.95667,446567.41173,412432.03924
creditwest bank,398745.84885,403623.25786,406374.59773,409870.19798,413297.53084,416808.78873,420918.88499,413801.97583,415531.43304000003,419787.07511,422513.55809,425669.72293,426970.81951,429304.65538,432545.75020999997,435235.49164,439062.94362,430992.49535000004,433435.56537,435476.33934999997,438901.61987,440233.50266,442633.0819,445012.91791,447276.10936999996,450549.03433,452335.68308000005,455700.56272,455616.38289,457653.84540999995,456103.44204,456453.52911,459681.44948999997,460192.36618,460722.65983,464230.90173000004,466024.03716999997,467468.43049,466719.02961,467200.11928000004,467175.2169,467756.7094,467264.25149,452466.34652,451352.76142,454704.19226000004,456740.18483,449978.02926000004,450837.66008,456012.29581000004,457485.33467,457462.91144999996,458947.73068,461808.36475,466160.94435,469755.70206,474775.75828,480191.25996000005,484479.4961,486216.00609,461395.24208,468251.77803000004,476675.40956
crystalbank,272636.74077,273996.30131,273879.14692,274714.67673,275029.2207,280205.59753,278332.20956,277810.07854,278524.20340999996,281426.96371,283706.70382999995,284332.41266,279684.24387,279908.31607,280536.38836,281343.81847999996,278733.31734,277036.3279,269334.86646,274986.13292,282464.38882,285433.17965,288934.60528,293237.00542,293751.23499,296267.28481,303949.64657000004,309878.60858,322134.56358,330696.87159,328546.799,321434.6048,340727.14277,348574.136,361313.60673,378457.21723999997,380500.88099,377764.93597,381753.11543,383056.54543000006,386451.56344999996,391150.92263000004,384953.41331,385334.60477,387504.06669,388857.06945,394203.98868,406472.64835,383591.1759,408005.61324,419341.69331999996,414196.86623,426894.92949,436817.57177,438986.71947999997,445874.49186999997,451879.61728,453596.95262999996,456318.15748999995,458960.27723999997,440184.14024,447470.31699,449024.98071000003
deutsche bank dbu,365523.30912,376142.02058,380541.34907,380633.80465,385563.11833,352433.98279,353311.46461,360425.29862,365414.64869,367499.17590000003,372235.89151,370168.36139,370041.89561999997,374893.15461,378104.70821,378885.31513999996,384966.51515,382416.60438000003,380711.53735,379241.62896,377039.04227,377454.71104,378428.99064,373566.27213,370952.32037,374623.91352,377080.90038,379370.98384,342070.12686,343628.72019,338988.46242,341372.42134,347265.86085999996,344362.92167,351083.19913,347293.95155999996,334980.32925,338158.38177,345525.91551,340128.68303,338978.0437,352329.09244000004,368486.38226000004,404328.34505,433014.0936,445223.40287,475285.11063,506570.27863,519958.39428,551856.1105899999,581002.99068,591697.75283,615707.03678,641894.8748400001,656169.86102,682331.3295499999,709944.63595,719346.60046,736393.41427,766512.4501499999,664728.08361,684153.22535,707640.4794
