Bank,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01
240 ат кіб,89905.83475000001,90255.91526000001,92221.32553999999,41776.48221,44292.16036,91910.8841,93123.60284,89877.9948,92829.40964,97166.16643,57859.00526,94819.27002,94292.35605999999,107860.79991999999,94458.25096,94728.8616,95300.64624999999,170513.52554,127497.19864999999,118845.76824,124534.55783,101956.15634999999,96015.05904000001,79198.43313,104878.16073,98631.75067000001,91827.02046,101407.1508,102146.09131,168397.41655999998,229302.92752,262052.07871000003,209346.98844,246218.40041,232319.60546,177450.20141,182119.08252,310891.40602000005,331371.12243,383081.46002,399261.28701,432920.93899,403882.87727,,,,,,,,,,,,,,,,
241 ат айбокс банк,88969.20233,83189.40218,83681.31181,84230.62595,84687.83972,85151.68566,85679.95878,86609.1813,86462.76411999999,51095.4354,51329.89056,51805.273929999996,52048.79334,52164.99683999999,52412.50023,52643.7641,52887.33302,53114.65567,54375.423180000005,112376.81345999999,125708.14783999999,116670.32195,117733.06979000001,125128.19350000001,125999.73936,126980.47846,126902.06333,126642.82551000001,132465.14961000002,131901.1007,202069.2651,134027.10426,128445.08952,128950.22786,97213.03216,96451.02082,95687.72570000001,94595.00245,94276.16071,93253.61108999999,90674.39822,77353.15695,76410.72771,79254.49665,81398.56959,80201.33798,,,,,,,,,,,,,
242 ат універсал банк,110503.44707,107172.44370999998,102203.92444,96290.96641000001,97575.19127,96393.71790999999,106832.34142999999,105634.31491,96748.42831999999,98944.86297999999,96046.86494000001,91243.51534,92218.54768999999,89059.11413,98783.43741,96256.52858,96389.35514,96874.60949,100596.1212,100892.65550000001,92627.1517,93231.62366,94815.94708,93553.8151,92637.73917,91868.86921,88322.19612,88114.00616,86393.72704,85954.61661,85792.90387000001,80808.0418,80053.92946,85349.1406,86206.19787,118983.98720999999,90366.10118,90554.57394999999,90303.38454,110698.77765,111007.15715,111166.8127,110387.68041,112569.64929,112854.35007,113654.65294,113521.17061999999,114581.27444,116185.75034,116553.53027,114418.39535,117048.14788,117712.7757,116729.34155000001,117419.59696,117887.03628,116815.35508000001,115906.06319,116666.97552
243 ат кб земельний капітал,29380.69589,59115.64346,50153.591969999994,50276.98143,49288.832070000004,48515.15499,64520.42557,98450.06341,97879.61689,97261.05825,96765.25505,125891.63668,154865.20246,148332.71055000002,177063.35281,169628.37607,166172.7932,180911.60437000002,180505.7163,181986.06592,183206.8348,184188.20145,263326.427,381940.49133,381575.43571,428552.29815,431743.82524,482952.70241,489106.76000999997,494854.2906,532873.77789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251 ат піреус банк мкб,25998.27667,25502.530179999998,25864.06785,25524.24455,25881.862569999998,25469.9653,30786.962609999995,30556.91945,29449.65542999999,29910.3705,29362.25887,29039.31286,30313.214709999997,30086.388939999997,33290.81322,32579.57761,31914.78802,31954.72048,32841.01452,8915.892039999999,9008.34543,9103.88855,4498.9528,4506.20345,4490.59896,4099.40619,69106.0994,71913.24973,69992.95075,69547.20044,69409.65364,86734.59849,85509.4769,85678.6967,84618.05721,84953.75418,84157.43062,84384.00047,82066.69944,97810.16879,97483.54732000001,95509.77176999999,97369.42872,100697.00878,101461.15398999999,114636.22317,111371.81762,112759.78502000001,112748.41737000001,109750.09863000001,109350.08633,106495.5059,104521.7703,102296.27345,120187.6535,119415.32564,125156.78689,121248.04677,132128.66298
270 ат банк кредит дніпро,4263725.7748,4182087.57602,4086261.60623,4304960.45792,4341376.67089,4188247.89277,3529952.80334,3553978.2122,3427574.9316600002,3384538.31635,3273069.9553400003,3061931.8423099997,3210276.93493,3182469.15425,3485179.54795,3369344.22448,3376356.3451400003,3363711.3933800003,3522357.46131,3510449.11338,3602463.76487,3636947.36571,3503578.61322,3171403.01798,3068373.51127,3073377.13767,3067051.1580399997,2886602.29427,2847054.17639,2825939.1506,2828376.50085,2783917.37908,2721956.29114,2379163.67894,2388086.38776,2583984.3867099998,2625598.94681,2640619.15493,2739134.32383,3564445.72961,3589337.01129,3652781.81045,3662879.44791,3698717.67962,1099948.14285,1101061.419,1089964.92615,1083226.77512,1063440.8687,1119209.14192,1114629.66576,1120020.66813,1328585.8937199998,1314326.88733,1355890.52451,1163962.38176,810212.1807799999,817186.8799,823397.95494
272 ат альфа-банк,4122628.5317,3891167.27397,6254225.19107,7802098.15224,6228376.82032,6516149.3855800005,6049262.33549,6132914.02718,2938708.8475699998,7850319.75369,6702675.44637,5892681.71701,6159280.23772,5656038.5376699995,6259508.77135,5447199.58627,5466653.20486,5528611.451479999,6092088.6826599995,6062465.60814,6173359.96325,4433502.88772,4158675.49336,4118634.93786,2039208.75146,1957313.51691,1951953.24522,1942287.7108800001,1920367.3741,1926607.59332,1954239.60085,1503967.19991,1465889.2398299999,1508621.00416,1522676.37107,1584490.91744,1527687.01249,3077252.3797400002,3470441.98723,4685198.24558,4777801.1956400005,5931008.54537,6167880.41532,,,,,,,,,,,,,,,,
272 ат сенс банк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6278701.64931,8118460.73662,8124942.873559999,7920599.71934,9571248.37546,9358147.58715,8901646.22795,8202445.92261,8434686.37081,10334816.67317,10309912.89156,10779739.61681,10784966.822630001,11007214.608609999,10730638.99146,10802171.94979
274 аб укргазбанк,5396851.5893399995,4781778.094419999,5359110.34011,5543393.78955,5516329.181430001,5432612.82619,5919544.318039999,5746000.74992,5952053.80979,6467135.82615,5860033.30583,5930281.35365,6036592.90123,5827548.98542,5100248.03335,4906570.48248,4933523.27412,4931869.6673099995,5290983.31419,5201406.08143,4441794.21786,4519773.73852,4747241.71722,4741762.34472,4855895.76304,5029137.53574,5267341.439809999,6440770.66945,6385397.49046,4797327.61352,4770285.48742,4451246.43357,5152008.86149,4826902.50635,4296255.11092,4330359.84811,4406066.97107,6236273.47073,8368246.89015,9490958.04774,9394073.54995,9733682.39408,13472121.19552,18999699.39233,18544901.74565,18461490.354480002,18386262.560429998,17130422.44861,17092045.46074,16813900.68629,16855898.66949,18375704.116559997,19656613.36552,19552273.70323,20555908.40241,19878511.90349,21049257.16784,20803914.20392,20703148.28257
286 ат аб радабанк,259399.42521999998,261714.20975,229091.26661000002,219331.51155,213755.32736,243090.3626,212324.30288,247069.17898,235206.85061999998,208743.72436,209174.6401,227909.44884,221325.09262,300756.72873,349873.60971,243781.89108,306269.15315,312417.66608,341242.15479,206453.4609,382469.84618,212599.68106,262596.85161,223227.65446,378062.57226000004,149317.83188,127734.63928999999,124687.10087,122119.58489999999,116281.30538,112510.90688,94949.33138,100721.33299,76447.03807000001,99734.77647,98833.86137999999,84912.83812999999,315410.17451,492847.22005,468223.05156,463243.89041999995,469629.19311,428848.74473,426745.12469,490368.03585,497444.48926,496993.67958999996,487154.72981,513135.86673,504526.40147,488660.01738000003,463649.76981,446769.8959,406310.9309,567236.07695,573929.7687,540159.37594,548604.11829,562779.76885
288 аб кліринговий дім,444276.01379999996,445373.58002,446511.92900999996,452103.2483,453655.57722999994,439972.59816,440447.44386999996,441614.58152,442077.35621,443626.28576,444185.42614,445286.04072000005,446809.22802000004,447692.89365999994,450898.92939,451365.43187,452419.14084999997,446653.71366999997,448319.63229,452326.71499,452824.06768,452296.84039,453187.20395,276632.48502,279204.56105,357678.06212,359952.21858,361518.68312,284750.03859,271169.56722,270940.24182,271553.54852,272456.50794,270726.22239,271488.12848,274621.00461,278380.33742,281799.80183,282952.55603,292031.81146,290591.57089,384368.75942,374539.11170999997,367419.19894000003,386750.5138,397590.29123,396847.26275999995,153510.98111,167345.51431,165134.73778,164761.49988,165792.14528,134244.28414,133247.11495,142305.43544,317591.10848,309718.39691,256745.70142,261275.53403
29 ат банк альянс,0.0,0.0,0.0,49843.38813,54951.836599999995,50062.41903,46666.18194,46454.123869999996,117713.98708,40574.51839999999,140553.38465999998,96140.14254,96298.81566,95166.08056,97796.13386999999,32538.49745,32483.73973,35451.00563,34467.904769999994,32340.93266,31008.7527,29137.178760000003,31839.633810000003,18195.06063,19427.29662,68056.95301,145393.08674,146001.40505,129668.52744,62248.33288,56663.9485,87502.59199,92792.34624,156653.66311999998,266873.40076,278924.15069,236044.12387,294710.14931999997,276045.35381999996,333664.62993999996,363405.82041,505273.57253,777605.7796199999,807120.89303,879095.06191,920506.87835,1039983.3954199998,1053529.57916,1033598.83409,1036611.0553100001,1041042.2025400001,1017981.4015399999,1122760.7898,1128277.97903,978372.38177,1127017.98438,1099196.62953,1092518.4560800001,1504482.42022
290 ат перший інвестиційний банк,,,,,275104.33716,274855.09714,274661.87659,274482.99735,266565.41025,264219.76472,209725.28128999998,152130.15164,227885.40042999998,227603.76086,227972.36251,227764.19717,218357.03385,224513.41431999998,159231.68126,159786.22961,117671.68706,115954.10807,75700.65574,75742.4862,75631.51559,75742.04451,78783.91913,78869.15677,78878.98509,78964.22351,79012.67539,79022.50693,3365.37643,3412.10485,3460.39088,3508.67691,3552.2901,3695.59058,3742.319,3790.60503,3838.89106,74216.96034,75220.49442,76194.54727,77199.43489,78204.05788000001,79111.39967,80116.7431,81088.27637,82091.27180999999,83053.5978,84052.88676,85051.33301,94668.38891,89841.68837,34256.32153,11002.59511,11067.54911,11202.08624
290 перший інвестиційний банк,171619.87379,171312.14044,275153.8478,275012.27327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295 ат інг банк україна,1000230.3120500001,988145.4584,1004783.99209,988581.6525099999,1005015.6691100001,994444.63759,926060.67709,939401.54674,916159.0691799999,933546.53698,913591.97728,878247.3674400001,906560.76862,902172.24245,1007287.6752500001,972586.31544,976846.5524899999,976657.30613,1002010.75926,984966.5547099999,1014135.36193,996467.42521,1002945.0101999999,991825.31351,989554.07669,981568.64331,983172.78945,362441.98852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732337.51969,905124.80411,905221.5682699999,866669.32906,867201.1864499999,868822.84953,870717.58279,868336.0004199999,864123.23699,864784.3475599999,860826.73021,861980.5942299999,858018.38569,865223.85459,864666.51621,864829.48198,1883577.01115,2288079.8877,418958.53304,421096.11535,427938.97615
