,Bank,Date,INF,PR,CR,OE,ROA,NIA,NIM,RA,SCTA,CDR,LAS,is_Credit_Agricole,is_FUIB,is_Kredobank,is_OTP,is_Oschadbank,is_Pivdennyi,is_Privat_Bank,is_Raiffeisen,is_Sense,is_Ukrsibbank,is_Universal
106,Privat_Bank,10/2019,-0.0725000000000007,0.8625798611111113,-0.0021548748816462,0.0006612992901683,0.0005504215128223,0.0010277805285626,0.0001035841707388,0.0041378060802913,0.0027395137099409,-0.012132502579485,0.0058497685141205,0,0,0,0,0,0,1,0,0,0,0
107,Oschadbank,10/2019,-0.0725000000000007,0.8625798611111113,0.0052037115981978,0.0007469660572548,0.0005035237444042,0.0261090746097483,0.0005807009855044,-0.0038818084628406,0.0030038420178029,0.0031386429517804,0.0022055153337104,0,0,0,0,1,0,0,0,0,0,0
108,Kredobank,10/2019,-0.0725000000000007,0.8625798611111113,0.002063881275809,0.0001395642351881,-0.0002492249692861,-0.0027469573888749,-0.0001871630609455,0.0017812166374955,0.0003939255154239,0.0088027436939405,-0.005022993133033,0,0,1,0,0,0,0,0,0,0,0
109,Sense,10/2019,-0.0725000000000007,0.8625798611111113,0.0400377890855624,-0.0007286274851936,0.0004454950221622,-0.0152899265986874,0.0001791500571149,0.0073649384636259,-0.000401077193157,0.0202231558070151,0.0081543811827385,0,0,0,0,0,0,0,0,1,0,0
110,Pivdennyi,11/2019,-0.4850000000000005,1.017024305555554,0.0190981810055045,-1.1745900467494016e-05,0.0005287982391863,0.0448251367924766,-0.0002375346631281,6.536385453143924e-06,-0.002846051929813,0.0054827308637299,-0.018268613200922,0,0,0,0,0,1,0,0,0,0,0
111,FUIB,11/2019,-0.4850000000000005,1.017024305555554,-0.0039424305558236,-3.275977722049157e-05,0.0001947184928969,-0.0018654875925958,-0.0001359648644229,0.0036342238013291,-0.0008948330334812,0.0218753209568325,-0.0301936099924522,0,1,0,0,0,0,0,0,0,0,0
112,Ukrsibbank,11/2019,-0.4850000000000005,1.017024305555554,0.0165311940675619,0.0001846064672919,-0.0001233924649061,-0.0067357993657217,0.0002556194994892,0.0095600926825461,-0.004375368438376,0.0514851869686208,-0.0077868213791756,0,0,0,0,0,0,0,0,0,1,0
113,Credit_Agricole,11/2019,-0.4850000000000005,1.017024305555554,-0.0020109727004839,0.000236788871711,-0.0004346380491216,-0.0022225619948452,-9.23562982269998e-05,0.0042136157741714,0.0018146015426994,0.0147873772888542,-0.0014724154187878,1,0,0,0,0,0,0,0,0,0,0
114,Universal,11/2019,-0.4850000000000005,1.017024305555554,0.002074538030672,0.0003638620149178,-0.0027328970068528,0.0307182685789132,-0.0001614618989559,-0.0027708369339892,-0.0018625610938502,0.008134768809713,0.0002059911187149,0,0,0,0,0,0,0,0,0,0,1
115,OTP,11/2019,-0.4850000000000005,1.017024305555554,5.799774857226381e-05,3.341684531543883e-05,-0.0005871513987762,0.0068623047377787,-7.325676429968314e-05,0.0017410475840803,0.0012505904764276,0.0426696157295684,-0.0197899891965584,0,0,0,1,0,0,0,0,0,0,0
116,Raiffeisen,11/2019,-0.4850000000000005,1.017024305555554,0.0049709895124208,-0.0006832838024109,-0.0017637010153858,-0.0035949481374727,-0.0005706186960402,0.0041273250324574,-0.0106914575227757,-0.0023258738304319,0.0210654455495024,0,0,0,0,0,0,0,1,0,0,0
117,Privat_Bank,11/2019,-0.4850000000000005,1.017024305555554,-0.003098027680155,0.0002507616893509,0.0004368757172112,0.0016230966795372,8.868436429836882e-05,0.003409373088891,-0.0082724799284277,0.0091023673830696,0.0188544767446266,0,0,0,0,0,0,1,0,0,0,0
118,Oschadbank,11/2019,-0.4850000000000005,1.017024305555554,0.0019910107674041,0.0002528857446534,-0.0023974634468372,-0.0046730778373074,-0.0004262640832577,-0.0005825477266449,-0.0017468955171949,0.037395321082836,0.0206724275880312,0,0,0,0,1,0,0,0,0,0,0
119,Kredobank,11/2019,-0.4850000000000005,1.017024305555554,0.0046041212527674,9.281797446862191e-05,-0.0008133337363151,0.0005317383229677,-0.0001842001628897,0.0026692283691855,-0.0050962946267854,0.0210614092898946,-0.0246989906192217,0,0,1,0,0,0,0,0,0,0,0
120,Sense,11/2019,-0.4850000000000005,1.017024305555554,0.007671847289211,-0.0011727059702183,0.0011686947459279,-0.0488490187573021,0.0003236401102743,0.0004675088307266,-0.0050609537272124,-0.0069158015603649,0.0419256254337558,0,0,0,0,0,0,0,0,1,0,0
121,Pivdennyi,12/2019,-0.7818750000000003,0.9409409722222216,0.024812453848588,-0.0008004927615112,-0.0032630975275693,0.0180023966660655,-0.0003946052062167,-0.0011471418747149,0.0006088983109484,0.0144045790746242,-0.0284204793311483,0,0,0,0,0,1,0,0,0,0,0
122,FUIB,12/2019,-0.7818750000000003,0.9409409722222216,-0.0022095711861581,-0.0002776274649312,-0.0002019859321578,-0.0046962096315306,0.0019862296301689,0.0059016731607281,0.0004554351978836,0.0215708726484463,-0.0211627663117491,0,1,0,0,0,0,0,0,0,0,0
123,Ukrsibbank,12/2019,-0.7818750000000003,0.9409409722222216,-0.0158445257350059,0.0008956800709862,-0.0010971132746441,-0.0053078692220177,0.0002454974894808,0.0072012350945932,0.0079382727227962,0.0332830966443004,-0.0315424541346095,0,0,0,0,0,0,0,0,0,1,0
124,Credit_Agricole,12/2019,-0.7818750000000003,0.9409409722222216,0.0038723420937611,0.0004413629977144,0.0003847045060446,0.0164720698865612,0.0001243391278543,0.004062782520765,-0.0033650554972874,0.0576062387349121,-0.0250215618712903,1,0,0,0,0,0,0,0,0,0,0
125,Universal,12/2019,-0.7818750000000003,0.9409409722222216,-0.0085554326489431,-0.0007276707195264,0.0002537899917525,-0.000758012462047,-0.0010669951505802,-0.0031426195759169,0.0009534080058733,-0.0284929361702509,-0.0214522755510037,0,0,0,0,0,0,0,0,0,0,1
126,OTP,12/2019,-0.7818750000000003,0.9409409722222216,-0.0007810576865582,0.0009136491655812,0.0006223320360477,-0.0029370736090778,0.0002256470744185,0.0017309675160376,0.0001145625219062,0.0026411109137108,0.0194175433437812,0,0,0,1,0,0,0,0,0,0,0
127,Raiffeisen,12/2019,-0.7818750000000003,0.9409409722222216,0.0078302522487557,0.0015966291846635,0.0012444154342694,-0.0014101093484685,0.0003931373892852,0.0076914233750517,-0.003008036258506,0.0133649953173455,-0.0015913697216788,0,0,0,0,0,0,0,1,0,0,0
128,Privat_Bank,12/2019,-0.7818750000000003,0.9409409722222216,-0.0060643382910991,-0.000308708370517,-0.0003996666914732,-0.0037175377421877,0.0001903972835068,-0.0004781728608255,0.0024433975268653,0.0232105062793871,-0.0186603353067638,0,0,0,0,0,0,1,0,0,0,0
129,Oschadbank,12/2019,-0.7818750000000003,0.9409409722222216,0.0083654378823164,0.0006259887196266,0.0006250281811013,0.0071511855083041,-0.0019138739081022,0.0115566890243118,0.0039618397430486,0.0471341955539716,0.0231154149319461,0,0,0,0,1,0,0,0,0,0,0
130,Kredobank,12/2019,-0.7818750000000003,0.9409409722222216,0.0014840709224936,0.0011705251175136,0.0013584609153158,0.0055292382416445,1.6801666024169183e-05,0.0044420973685247,-0.0040486519193541,0.0039033448142763,0.0348297179966506,0,0,1,0,0,0,0,0,0,0,0
131,Sense,12/2019,-0.7818750000000003,0.9409409722222216,-0.0055427142110063,-0.0004537736316591,0.002171530939613,0.0295462498419451,-0.0002241002989498,-0.000764755528237,-0.001050820666353,0.0220101715210449,-0.0057449125847195,0,0,0,0,0,0,0,0,1,0,0
132,Pivdennyi,01/2020,-0.965208333333333,1.2076076388888883,0.0230793138183332,0.000207321754147,0.0008383962298006,-0.0074829929059246,-0.0001342034929926,-7.602688910771267e-05,-0.0014127224966336,0.005356411387169,-0.0125626432153374,0,0,0,0,0,1,0,0,0,0,0
133,FUIB,01/2020,-0.965208333333333,1.2076076388888883,0.0006157026276995,0.000411093840061,0.0006486000767339,0.0013037844387218,0.0004382006757076,0.0046751815661069,-0.0022389365954841,-0.0227560233796047,0.0621499215560698,0,1,0,0,0,0,0,0,0,0,0
